id,aro,municipio,zona,sistema,localidad,estado_operativo,estado_actual,poblacion_atendida,poblacion_afectada,prioridad,afectacion,accion_requerida,inversion_cop,fotos,fuentes
DEP-ACU-RESTREPO-190,Centro Tuluá,Restrepo,Urbano,ACUAVALLE S.A. ESP,URBANO,NORMAL,POR VALIDAR,14000,,BAJA,"REPORTE_URBANO [ACU-0024]: Durante el evento sismico se presentaron daños estructurales en la caseta de dosificación de cloro, se evidencian grietas de los muros a 45 grados en el 80% de la longitud de la pared, el riesgo es crítico se recomendó no usar este espacio dentro de la operación de la planta .
La tuberia que transporta el agua procesada a los tanques de almacenamiento se fracturo debido al evento | Vulnerabilidad sísmica y geológica a la caseta dosificacion de sulfato R.Alto",REPORTE_URBANO [ACU-0024]: Demolicion y construccion de una caseta nueva | Demolicion y construccion de una caseta nueva con losa superior para soporte de tanque,95000000,1,REPORTE_URBANO | UESVALLE
DEP-ACU-RESTREPO-2064,Centro Tuluá,Restrepo,Rural,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,ALTO DEL OSO,PARCIAL,MAL ESTADO,68,68,MEDIA,"UESVALLE [ACU-RESTREPO-2064]: VERIFICACIÓN: tuvo daño en cortina y afectación en tanque de almacenamiento
VALLECAUCANA [VAL-0057]: PRESENTA FISURAS QUE AFECTAN DE MANERA CONSIDERABLE LA ESTANQUIDAD DEL COMPONENTE",VALLECAUCANA [VAL-0057]: Intervención de alta prioridad por afectación importante.,180000000,8,UESVALLE | VALLECAUCANA
DEP-ACU-RESTREPO-7545,Centro Tuluá,Restrepo,Rural,ACUEDUCTO ALTO DEL OSO LA FLORIDA,LA FLORIDA,PARCIAL,MAL ESTADO,100,100,MEDIA,"VALLECAUCANA [VAL-0058]: LAS FISURAS QUE PRESENTABA CON EL SISMO SE AGRAVARON
VALLECAUCANA [VAL-0059]: EL TANQUE PRESENTO FISURAS CON PERDIDA IMPORTANTE DE AGUA. LA CAPTACIÓN PRESENTO AVERIAS SEVERAS, EL AGUA SE DESVIA Y NO INGRESA.","VALLECAUCANA [VAL-0058]: INTERVENCION PRIORIETARIAS PARA REGULAR EL SERVICIO DE ACUEDUCTO
VALLECAUCANA [VAL-0059]: Intervención inmediata por riesgo o afectación crítica del servicio.",480000000,0,UESVALLE | VALLECAUCANA
DEP-ACU-RESTREPO-2066,Centro Tuluá,Restrepo,Rural,ACUEDUCTO ALTO DEL OSO LA FLORIDA Y LA CAMELIA,ALTO DEL OSO,NORMAL,POR VALIDAR,100,,BAJA,UESVALLE [ACU-RESTREPO-2066]: VERIFICACIÓN: presenta fisuras en el tanque de almacenamiento,,0,0,UESVALLE
DEP-ACU-RESTREPO-2076,Centro Tuluá,Restrepo,Rural,ACUEDUCTO LA SOLEDAD,LA SOLEDAD,PARCIAL,POR VALIDAR,60,,MEDIA,UESVALLE [ACU-RESTREPO-2076]: VERIFICACIÓN: Se vio afectada la tubería que alimenta tanque de almacenamiento,,0,5,UESVALLE
DEP-ACU-RESTREPO-14230,Centro Tuluá,Restrepo,Rural,ACUEDUCTO RURAL ALTO ZABALETAS,ALTO ZABALETAS,PARCIAL,MAL ESTADO,120,48,MEDIA,"VALLECAUCANA [VAL-0051]:  Fisura en tubería de salida de bocatoma y muro en la captación, desarenador  con Múltiples fisuras y ampliación de grietas preexistentes.  Tanque con Múltiples fisuras en la estructura de almacenamiento.",VALLECAUCANA [VAL-0051]: INTERVENCIÓN INMEDIATA POR RIESGO O AFECTACIÓN CRITICA DEL SERVICIO,456000000,0,UESVALLE | VALLECAUCANA
DEP-ACU-RESTREPO-157,Centro Tuluá,Restrepo,Rural,ACUEDUCTO RURAL TABLEROS ACUAVALLE S.A ESP,TABLEROS,NORMAL,POR VALIDAR,664,,BAJA,REPORTE_URBANO [ACU-0025]: Durante el evento sismico se presentaron daños estructurales a la caseta de dosificación de sulfato,REPORTE_URBANO [ACU-0025]: Se requiere un analisis dinamico de la estructura teniendo en cuenta las afectaciones existentes para asi determinar su estabilidad y procedimiento para rehabilitacion.Demolicion y construccion de una caseta nueva con losa superior para soporte de tanque,135000000,1,REPORTE_URBANO | UESVALLE
DEP-ACU-RESTREPO-3393,Centro Tuluá,Restrepo,Rural,ASOCIACION DE SUSCRIPTORES DEL SISTEMA DE SUMINISTRO DE AGUA RURAL COMUNITARIA LA VEREDA LA ALBANIA ASOAGUALBANIA,ALBANIA,PARCIAL,MAL ESTADO,240,260,MEDIA,"VALLECAUCANA [VAL-0056]: ADUCCIÓN PRESENTO FILTRACIONES EN UNIONES / TUBERÍA FALLADA EN LA VEREDA. EL TANQUE MOSTRO FILTRACIONES TRANSVERSALES CON HUMEDAD DESCENDENTE. LA RED MUESTRA FILTRACIONES Y FALLAS EN VARIOS TRAMOS,",VALLECAUCANA [VAL-0056]: INTERVENCION PRIORIETARIAS PARA REGULAR EL SERVICIO DE ACUEDUCTO,660000000,0,UESVALLE | VALLECAUCANA
DEP-ACU-RESTREPO-3304,Centro Tuluá,Restrepo,Rural,ASOCIACION USUARIOS COMUNIDAD VDA SAN SALVADOR Y EL SILENCIO - EL SILENCIO,SILENCIO,PARCIAL,MAL ESTADO,196,292,MEDIA,VALLECAUCANA [VAL-0052]: Fisuras en tanque de almacenamiento y cámara de caída.,VALLECAUCANA [VAL-0052]: INTERVENCIÓN INMEDIATA POR RIESGO O AFECTACIÓN CRITICA DEL SERVICIO,480000000,0,UESVALLE | VALLECAUCANA
DEP-ACU-RESTREPO-13516,Centro Tuluá,Restrepo,Rural,JUNTA ADMINISTRADORA ACUEDUCTO ROMAN,ROMAN,PARCIAL,MAL ESTADO,92,92,MEDIA,VALLECAUCANA [VAL-0053]: FISURAS CON RIESGO DE AMPLIACIÓN PRODUCTO DEL SISMO en tanque,VALLECAUCANA [VAL-0053]: Intervención programable para evitar mayor deterioro.,216000000,0,UESVALLE | VALLECAUCANA
