No.;CODIGO_ANTERIOR;CODIGO_SISTEMA;Latitud_X;Longitud_Y;MUNICIPIO;TIPO;CODIGO IVC2;CODIGO MUESTREO;CODIGO_AT;ID_SSPD;TIPO_SISTEMA_TRATAMIENTO;ALGUN_TIPO_TRATAMIENTO;LOCALIDADES ABASTECIDAS;NUMERO_LOCALIDADES;ARO;Persona Prestadora;Forma_organizativa;Registrados_SSPD;SIVICAP_Registrados_SSPD;SUSCRIPTORES;POBLACION;IRCA_2020;Nivel de Riesgo_2020;Fecha ultimo IRCA_2020;IRCA_2021;Nivel de Riesgo_2021;Fecha ultimo IRCA_2021;IRCA_2022;Nivel de Riesgo_2022;Fecha ultimo IRCA_2022;IRCA_2023;Nivel de Riesgo_2023;FECHA_IRCA_2023;IRCA_2024;Nivel_de_Riesgo_2024;Fecha_IRCA_2024;IRCA_2025;Nivel_Riesgo_2025;Fecha_Ultimo_IRCA_2025;Punto_Toma_2025;IRCA_Promedio;Img_bocatoma
381;133530;12526;3.63533333;-76.57847222;LA CUMBRE;CENTRO POBLADO;133530;;133977;25354;FD+Desinfeccion;Si;SER EL BOSQUE;2;Sur Cali;JUNTA DE AGUAS VEREDA LA VENTURA JAGUVEN - SECTOR EL BOSQUE;Empresa de Servicios Publicos;Si;Si;80;320;;;;;;;17.96;MEDIO;15/03/2022;17.54;MEDIO;14/03/2023;;;;21.9;MEDIO;10/07/2025;Grifo;14.35;
382;31843;50;3.66136111;-76.57580556;LA CUMBRE;URBANO;31843;51230;;443;Convencional;Si;PAVITAS , ALTO ARBOLEDAS, TIMBIO, TUNIA, LAS COLONIAS, MONTAÑITA LA CUMBRE, MONTAÑITA YUMBO, CORDOBITAS, EL RETIRO, LA VENTURA;5;Sur Cali;SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-LA CUMBRE;Empresa de Servicios Publicos;Si;Si;2023;6595;0;SIN RIESGO;16/12/2020;0;SIN RIESGO;1/02/2021;0;SIN RIESGO;20/12/2022;0;SIN RIESGO;23/01/2023;0;SIN RIESGO;11/12/2024;0;SIN RIESGO;1/12/2025;Grifo;0;
383;93503;3183;4.54193056;-76.04868333;LA UNION;DISPERSA;93503;108867;113476;S/D;Pozo;Si;CORCEGA;1;Norte Cartago;ACUEDUCTO RURAL CORCEGA;Autogestion;No;No;17;68;90.06;INVIABLE SANITARIAMENTE;26/02/2020;;;;0;SIN RIESGO;30/08/2022;21.9;MEDIO;18/10/2023;0;SIN RIESGO;17/09/2024;23.3;MEDIO;11/06/2025;Grifo;22.54;
384;115780;2898;4.56488056;-76.10926944;LA UNION;DISPERSA;115780;118458;118414;S/D;Soluciones_Individuales;Si;LA AGUADA;1;Norte Cartago;ACUEDUCTO VEREDAL LA AGUADA BAJA;Autogestion;No;No;32;128;63.58;ALTO;29/07/2020;0;SIN RIESGO;30/06/2021;91.26;INVIABLE SANITARIAMENTE;1/12/2022;86.52;INVIABLE SANITARIAMENTE;18/04/2023;80.29;INVIABLE SANITARIAMENTE;17/09/2024;78;ALTO;23/09/2025;Grifo;57.09;
385;96661;3180;4.522675;-76.07835833;LA UNION;DISPERSA;96661;108869;117641;S/D;Pozo;Si;LA ISLA;1;Norte Cartago;ACUEDUCTO VEREDAL LA ISLA;Autogestion;No;No;18;0;60.87;ALTO;23/09/2020;86.87;INVIABLE SANITARIAMENTE;30/06/2021;77.67;ALTO;1/12/2022;80.85;INVIABLE SANITARIAMENTE;27/02/2023;23.36;MEDIO;9/12/2024;58.2;ALTO;23/09/2025;Grifo;55.4;
386;88295;3178;4.55355;-76.16506389;LA UNION;CENTRO POBLADO;88295;89926;118815;21786;FIME;Si;QUEBRADA GRANDE, LA PLAYA, EL JORDAN , VIOLETAS,VENTIADEROS,EL CEDRO, SABANAZO, EL CASTILLO,CARPINTE;9;Norte Cartago;ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO QUEBRADA GRANDE DEL MUNICIPIO DE LA UNION;Empresa de Servicios Publicos;Si;Si;365;1460;30.43;MEDIO;23/09/2020;0;SIN RIESGO;4/03/2021;25.15;MEDIO;1/11/2022;24.56;MEDIO;27/02/2023;78.01;ALTO;9/07/2024;86.6;INVIABLE SANITARIAMENTE;22/07/2025;Grifo;34.97;
387;88287;3179;4.53013889;-76.11456389;LA UNION;CENTRO POBLADO;88287;107307;110086;S/D;Filtracion Compacta;Si;PAJARO DE ORO;3;Norte Cartago;ASOCIACION COMUNITARIA DE USUARIOS DEL ACUEDUCTO RURAL DE PAJARO DE ORO ACUARPO;Autogestion;No;No;156;0;0;SIN RIESGO;23/09/2020;0;SIN RIESGO;4/03/2021;89.05;INVIABLE SANITARIAMENTE;1/11/2022;0;SIN RIESGO;27/02/2023;17.96;MEDIO;25/11/2024;11.1;BAJO;23/09/2025;Grifo;16.87;
388;88217;337;4.54046667;-76.112525;LA UNION;CENTRO POBLADO;88217;89928;113479;21068;Convencional;Si;SAN PEDRO Y SAN LUIS;3;Norte Cartago;ASOCIACION DE USUARIOS ACUEDUCTO SAN PEDRO Y SAN LUIS ASUASPEL;Empresa de Servicios Publicos;Si;Si;778;3112;8.63;BAJO;21/12/2020;0;SIN RIESGO;30/06/2021;25.15;MEDIO;1/11/2022;17.54;MEDIO;27/02/2023;17.96;MEDIO;25/11/2024;24.6;MEDIO;23/09/2025;Bayoneta;13.41;
389;87876;2895;4.54829444;-76.13313611;LA UNION;DISPERSA;87876;107310;110128;S/D;Soluciones_Individuales;Si;EL RINCON;1;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA EL RINCON MUNICIPIO DE LA UNION VALLE -ASOCURINCON;Autogestion;No;No;45;180;30.43;MEDIO;23/09/2020;0;SIN RIESGO;4/03/2021;0;SIN RIESGO;1/12/2022;86.52;INVIABLE SANITARIAMENTE;18/04/2023;89.05;INVIABLE SANITARIAMENTE;25/11/2024;86.5;INVIABLE SANITARIAMENTE;23/09/2025;Grifo;41.79;
390;126425;2902;4.53985278;-76.11379167;LA UNION;CENTRO POBLADO;126425;126423;126424;21068;Solo desinfeccion;No;SECTOR SILOE;1;Norte Cartago;ASUASPEL- ASOCIACION DE USUARIOS ACUEDUCTO SAN PEDRO Y SAN LUIS - SECTOR SILOE-EL CARMEN #2;Empresa de Servicios Publicos;Si;Si;823;3292;30.43;MEDIO;23/09/2020;0;SIN RIESGO;30/06/2021;17.96;MEDIO;25/10/2022;17.54;MEDIO;27/02/2023;17.96;MEDIO;25/11/2024;24.6;MEDIO;23/09/2025;Grifo;15.49;
