ACTIVIDADES,CODIGO,CODIGO_ACTIVIDAD,ARO,TIPO,PERIODO_NORMALIZADO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
OTROS,MESASTECNICAS,MESASTECNICAS,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,16.0,0.0,16.0,16.0,0.0,0.0,0.0,Crítico
OTROS,MESASTECNICAS,MESASTECNICAS,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,5.0,1.0,4.0,4.0,0.0,0.2,0.2,Crítico
OTROS,MESASTECNICAS,MESASTECNICAS,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,12.0,2.0,10.0,10.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
OTROS,MESASTECNICAS,MESASTECNICAS,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,12.0,0.0,12.0,12.0,0.0,0.0,0.0,Crítico
OTROS,MST,MST,CALI,PLANTA,Enero - Marzo,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
OTROS,MST,MST,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,8.0,4.0,4.0,4.0,0.0,0.5,0.5,Bajo
OTROS,PQRS,PQRS,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,16.0,2.0,14.0,14.0,0.0,0.125,0.125,Crítico
OTROS,PQRS,PQRS,CALI,PLANTA,Enero - Marzo,2026,2,1,1,11.0,0.0,11.0,11.0,0.0,0.0,0.0,Crítico
OTROS,PQRS,PQRS,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,8.0,33.0,-25.0,0.0,25.0,4.125,1.0,Supera meta
OTROS,PQRS,PQRS,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,20.0,5.0,15.0,15.0,0.0,0.25,0.25,Crítico
OTROS,PQRS,PQRS,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,12.0,7.0,5.0,5.0,0.0,0.5833333333333334,0.5833333333333334,Bajo
OTROS,PQRS,PQRS,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,13.0,11.0,2.0,2.0,0.0,0.8461538461538461,0.8461538461538461,Cumplido
OTROS,RT,RT,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,12.0,2.0,10.0,10.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
OTROS,RUTAMUESTRASAGUACONSUMOHUMANO,RUTAMUESTRASAGUACONSUMOHUMANO,CALI,PLANTA,Enero - Marzo,2026,1,1,1,11.0,0.0,11.0,11.0,0.0,0.0,0.0,Crítico
OTROS,RUTAMUESTRASAGUACONSUMOHUMANO,RUTAMUESTRASAGUACONSUMOHUMANO,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,10.0,3.0,7.0,7.0,0.0,0.3,0.3,Crítico
OTROS,SUPERVISIÓNMUESTRAS,SUPERVISIÓNMUESTRAS,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,48.0,2.0,46.0,46.0,0.0,0.041666666666666664,0.041666666666666664,Crítico
OTROS,TRAMITES,TRAMITES,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,10.0,0.0,10.0,10.0,0.0,0.0,0.0,Crítico
OTROS,VALIDACIÓNYAPROBACIONAPP,VALIDACIÓNYAPROBACIONAPP,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,26.0,1.0,25.0,25.0,0.0,0.038461538461538464,0.038461538461538464,Crítico
Operativo,1.1,1.1,CALI,CONTRATISTA,Enero - Marzo,2026,6,3,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Operativo,1.1,1.1,CALI,PLANTA,Enero - Marzo,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Operativo,1.1,1.1,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,12.0,6.0,6.0,7.0,1.0,0.5,0.5,Bajo
