ACTIVIDAD,Actividad_Resumen,CODIGO_LLAVE,CODIGO_SISA_ORIGINAL,CODIGO_PROGRAMADO_CRUCE,TIPO_CRUCE_MPR,PUNTAJE_CRUCE_MPR,MUNICIPIO,LOCALIDADES_ABASTECIDAS,NOMBRE_SISTEMA,PERSONA_PRESTADORA,NOMBRE_ARO,FUNCIONARIO,FECHA_ACTIVIDAD,ACTA,CONSECUTIVO VISITA,ESTADO,PROGRAMADO,CODIGO_PROGRAMADO_ORIGINAL,FUNCIONARIO_PROGRAMADO,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,COINCIDE_FUNCIONARIO_PROGRAMADO
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,127559,120229,127559,TEXTO,1.0,CAICEDONIA,EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,Aro Centro Tuluà,WILLIAM ALBERTO CARLOSAMA JIMENEZ,2026-04-15,WAC15042026,135,ABIERTO,SI,127559,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,CAICEDONIA,EL SALADO,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,43206,17834,43206,TEXTO,1.0,LA CUMBRE,VEREDAS SAN JOSE Y AGUA CLARA,VERSA,"ACUEDUCTO VERSA - ASOCIACION DE USUARIO DEL SERVICIO DEL ACUEDUCTO V.E.R.S.A. DE LAS VEREDAS,SAN JOSE Y AGUA CLARA MUNICIPIO DE YUMBO LA CUMBRE",Aro Sur Cali,MAURICIO ALZATE DIAZ,2026-04-22,MPCUMBRE01,113,ABIERTO,SI,43206,MAURICIO ALZATE DIAZ,CALI,LA CUMBRE,SAN JOSÉ Y AGUA CLARA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,59619,59619,59619,CODIGO,1.0,BOLÍVAR,LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA  ASOAHER,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-02,DM020426,103,ABIERTO,SI,59619,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,LA HERRADURA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,33506,0,33506,TEXTO,1.0,VIJES,VEREDA VIDAL,ALJIBE VIDAL,ABASTECIMIENTO COMUNITARIO VIDAL,Aro Sur Cali,DIEGO ANDRES SANCHEZ MUÑOZ,2026-02-06,MPVIDAL01,139,ABIERTO,SI,33506,DIEGO SANCHEZ,CALI,VIJES,VIDAL,NO
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,88219,88219,88219,CODIGO,1.0,TORO,VEREDA LA QUIEBRA,ACUEDUCTO RURAL LA QUIEBRA,ACUEDUCTO RURAL VEREDA LA QUIEBRA,Aro Norte Cartago,SAIR HAIRTON IBARGUEN RENTERIA,2026-04-09,SHIR09042026,97,ABIERTO,SI,88219,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,TORO,LA QUIEBRA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,114537,114537,114537,CODIGO,1.0,EL CAIRO,VEREDA SALMELIA,ACUEDUCTO RURAL VEREDA SALMELIA,ACUEDUCTO RURAL CORREGIMIENTO LA SALMELIA,Aro Norte Cartago,EDWARD RAUL JAIMES VERA,2026-05-27,ERJ27052026,142,ABIERTO,SI,114537,EDWARD RAUL JAIMES VERA,CARTAGO,EL CAIRO,SALMELIA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,68866,118184,68866,TEXTO,1.0,EL DOVIO,VEREDA DIAMANTE,VEREDA DIAMANTE ALTO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNIDAD DE LA VEREDA DIAMANTE ALTO,Aro Norte Cartago,ANA MILENA MENDEZ ARANA,2026-04-23,AMM23426,125,ABIERTO,SI,68866,ANA MILENA MENDEZ ARANA,CARTAGO,EL DOVIO,EL DIAMANTE Sector El Filo,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SIN_CODIGO_EL CERRITO_PARCELACION VENECIA ETAPAS 1-2-3 Y 4,0,SIN_CODIGO_EL CERRITO_PARCELACION VENECIA ETAPAS 1-2-3 Y 4,PRESTADOR,1.0,EL CERRITO,,,PARCELACIÓN VENECIA ETAPAS 1-2-3 Y 4,Aro Sur Cali,LAURA SOFIA LOPEZ CUNDUMI,2026-03-19,MPRVENE,88,ABIERTO,SI,,LAURA SOFIA LOPEZ CUNDUMI,CALI,EL CERRITO,PARCELACIÓN VENECIA ETAPAS 1-2-3 Y 4,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,25332,0,25332,TEXTO,1.0,ARGELIA,,,ACUEDUCTO RURAL VEREDA LA MARINA ,Aro Norte Cartago,EDWARD RAUL JAIMES VERA,2026-04-06,ERJ060426,93,ABIERTO,SI,25332,EDWARD RAUL JAIMES VERA,CARTAGO,ARGELIA,ACUEDUCTO RURAL VEREDA LA MARINA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,68462,0,68462,TEXTO,1.0,EL DOVIO,,,ACUEDUTO RURAL MONTE AZUL - ACUAZAL ,Aro Norte Cartago,ANA MILENA MENDEZ ARANA,2026-04-22,AMM2426,126,ABIERTO,SI,68462,ANA MILENA MENDEZ ARANA,CARTAGO,EL DOVIO,MONTE AZUL,SI
