ID,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,CODIGO_LLAVE,CODIGO_VALIDO,ejecuto_13,fecha_13,funcionario_13,acta_13,registros_13,ejecuto_14,fecha_14,funcionario_14,acta_14,registros_14,ejecuto_15,fecha_15,funcionario_15,acta_15,registros_15,DIAS_13_A_14,ESTADO_MPR,PROGRAMADO
41,CARTAGO,OBANDO,VILLA RODAS,14638,SI,SI,2026-04-01,SAIR HAIRTON IBARGUEN RENTERIA,SHIR01042026-2,1,SI,2026-04-06,ANA MILENA MENDEZ ARANA,0024,1,NO,,,,0,5.0,PENDIENTE 1.5 RESOLUCIÓN,SI
42,CARTAGO,OBANDO,VILLARODAS 1,88218,SI,SI,2026-04-01,SAIR HAIRTON IBARGUEN RENTERIA,SHIR01042026,1,SI,2026-04-06,ANA MILENA MENDEZ ARANA,0001,1,NO,,,,0,5.0,PENDIENTE 1.5 RESOLUCIÓN,SI
43,CALI,PRADERA,POTRERITO,34629,SI,NO,,,,0,SI,2026-04-07,CARLOS ALBERTO CAICEDO GONZALEZ,CACG-002,1,NO,,,,0,,ALERTA: 1.4 SIN 1.3,SI
44,CALI,PRADERA,EL RECREO,33117,SI,NO,,,,0,SI,2026-04-07,CARLOS ALBERTO CAICEDO GONZALEZ,CACG-001,1,NO,,,,0,,ALERTA: 1.4 SIN 1.3,SI
45,TULUA,RESTREPO,ACUAPALTRES,112090,SI,SI,2026-04-24,VALERIA PATIÑO HERNANDEZ,VP024/26,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
46,TULUA,RESTREPO,ALTO DEL OSO LA ESPERANZA,116231,SI,SI,2026-04-16,VALERIA PATIÑO HERNANDEZ,VP-16042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
47,TULUA,RIOFRIO,CALABAZAS,61928,SI,SI,2026-04-25,DIANA GIMENA MARTINEZ GONZALEZ,DM25042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
48,TULUA,RIOFRIO,LOS ALPES,66187,SI,SI,2026-04-07,DIANA GIMENA MARTINEZ GONZALEZ,DM0407,2,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
49,CARTAGO,ROLDANILLO,LA SOLEDAD,60383,SI,SI,2026-04-17,ANA MILENA MENDEZ ARANA,AMM170426,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
50,TULUA,SAN PEDRO,MONTERREDONDO,58644,SI,SI,2026-04-22,VALERIA PATIÑO HERNANDEZ,VP22042026-01,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
51,TULUA,SEVILLA,EL VENADO,58792,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
52,TULUA,SEVILLA,ALTO RECREO,115587,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
53,CARTAGO,TORO,LA QUIEBRA,88219,SI,SI,2026-04-09,SAIR HAIRTON IBARGUEN RENTERIA,SHIR09042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
54,TULUA,TRUJILLO,LA DIAMANTINA,65487,SI,SI,2026-03-23,DIANA GIMENA MARTINEZ GONZALEZ,DM-23032026,2,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
55,TULUA,TRUJILLO,CEDRALES,62248,SI,SI,2026-04-20,DIANA GIMENA MARTINEZ GONZALEZ,DM20042026-01,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
56,TULUA,TRUJILLO,ANDINÁPOLIS,61999,SI,SI,2026-04-14,DIANA GIMENA MARTINEZ GONZALEZ,DM14042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
57,CARTAGO,ULLOA,"URBANO, BERLIN",86250,SI,SI,2026-04-23,SAIR HAIRTON IBARGUEN RENTERIA,SHIR042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
58,CARTAGO,ULLOA,SISTEMA # 2 - BERLIN,15191,SI,SI,2026-04-22,SAIR HAIRTON IBARGUEN RENTERIA,SHIR22042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
59,CARTAGO,VERSALLES,LA BALSORA,15506,SI,SI,2026-04-08,ANA MILENA MENDEZ ARANA,AMM080426,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
60,CALI,VIJES,MONTERREY ALTOS DE LA FRESNEDA JACA 13,135187,SI,NO,,,,0,SI,2026-04-27,CARLOS ALBERTO CAICEDO GONZALEZ,CACG-012,1,NO,,,,0,,ALERTA: 1.4 SIN 1.3,SI
61,CALI,VIJES,VIDAL,33506,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
62,TULUA,YOTOCO,LA BOHEMIA - CORREGIMIENTO PUENTE TIERRA,108425,SI,SI,2026-04-08,VALERIA PATIÑO HERNANDEZ,VP-08042026,1,SI,2026-04-20,NATALIA RAIGOSA MEDINA,0536,1,NO,,,,0,12.0,PENDIENTE 1.5 RESOLUCIÓN,SI
63,TULUA,YOTOCO,EL BOSQUE,115075,SI,SI,2026-04-15,VALERIA PATIÑO HERNANDEZ,VP150426,1,SI,2026-04-20,NATALIA RAIGOSA MEDINA,0537,2,NO,,,,0,5.0,PENDIENTE 1.5 RESOLUCIÓN,SI
64,TULUA,YOTOCO,BUENOS AIRES,136356,SI,SI,2026-04-07,VALERIA PATIÑO HERNANDEZ,VP07042026,1,SI,2026-04-20,NATALIA RAIGOSA MEDINA,0534,1,NO,,,,0,13.0,PENDIENTE 1.5 RESOLUCIÓN,SI
65,TULUA,ZARZAL,GUASIMAL ALIZAL,122659,SI,SI,2026-04-04,DIANA GIMENA MARTINEZ GONZALEZ,DM-040426-1,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
66,CALI,LA CUMBRE,ACUAVALLE LA CUMBRE (Prioritaria),31843,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
67,CALI,FLORIDA,ACUAVALLE FLORIDA (Prioritaria),36332,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
68,CALI,PRADERA,ACUAVALLE PRADERA,30210,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
69,CALI,EL CERRITO,ACUAVALLE EL CERRITO,36321,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
70,CALI,GINEBRA,ACUAVALLE GINEBRA,70675,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
71,TULUA,YOTOCO,EL SOBACO,13517,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
72,TULUA,CALIMA,PARCELACION AGUA DULCE,,NO,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
73,CARTAGO,ARGELIA,,,NO,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
74,,,,,NO,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
75,,,,,NO,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
