anio,mes,codigo_dane,municipio,area_operativa,latitud,longitud,fecha,especie,condicion,vacuna,lote,vacunaciones
2026,6,76233,DAGUA,ARO SUR CALI,3.56259,-76.63243,2026-06-10,CANINO,PRIMERA VEZ,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56291,-76.63306,2026-06-10,FELINO,PRIMERA VEZ,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56575,-76.63784,2026-06-04,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56575,-76.63784,2026-06-04,CANINO,REVACUNADO,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.56575,-76.63784,2026-06-04,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56627,-76.63098,2026-06-04,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.5663,-76.63297,2026-06-04,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.5663,-76.63307,2026-06-04,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56688,-76.63062,2026-06-19,CANINO,REVACUNADO,RABICAN,RAC261,4
2026,6,76233,DAGUA,ARO SUR CALI,3.56688,-76.63062,2026-06-19,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56688,-76.63062,2026-06-19,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56694,-76.63495,2026-06-19,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56712,-76.62593,2026-06-19,CANINO,PRIMERA VEZ,RABICAN,RAC261,4
2026,6,76233,DAGUA,ARO SUR CALI,3.56712,-76.62593,2026-06-19,CANINO,REVACUNADO,RABICAN,RAC261,21
2026,6,76233,DAGUA,ARO SUR CALI,3.56712,-76.62593,2026-06-19,FELINO,PRIMERA VEZ,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.56712,-76.62593,2026-06-19,FELINO,REVACUNADO,RABICAN,RAC261,7
2026,6,76233,DAGUA,ARO SUR CALI,3.56719,-76.63062,2026-06-26,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56719,-76.63062,2026-06-26,CANINO,REVACUNADO,RABICAN,RAC261,4
2026,6,76233,DAGUA,ARO SUR CALI,3.56757,-76.63568,2026-06-26,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56759,-76.63712,2026-06-26,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56807,-76.62773,2026-06-26,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56807,-76.62773,2026-06-26,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56807,-76.62773,2026-06-26,FELINO,PRIMERA VEZ,RABICAN,RAC261,2
2026,6,76233,DAGUA,ARO SUR CALI,3.5696,-76.64759,2026-06-26,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56976,-76.64627,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56976,-76.6463,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56977,-76.64627,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,4
