anio,anio_visita,mes,codigo_dane,municipio,numero_visita,dentro_10_dias,area_operativa,visitas
2026,2026,3,76403,LA VICTORIA,3,NO,ARO NORTE CARTAGO,1
2026,2026,3,76403,LA VICTORIA,3,SI,ARO NORTE CARTAGO,1
2026,2026,3,76497,OBANDO,1,NO,ARO NORTE CARTAGO,1
2026,2026,3,76497,OBANDO,1,SI,ARO NORTE CARTAGO,6
2026,2026,3,76497,OBANDO,2,SI,ARO NORTE CARTAGO,2
2026,2026,3,76497,OBANDO,3,SI,ARO NORTE CARTAGO,2
2026,2026,3,76563,PRADERA,1,NO,ARO SUR CALI,12
2026,2026,3,76563,PRADERA,1,SI,ARO SUR CALI,4
2026,2026,3,76606,RESTREPO,1,NO,ARO CENTRO TULUA,3
2026,2026,3,76606,RESTREPO,1,SI,ARO CENTRO TULUA,13
2026,2026,3,76616,RIOFRIO,1,NO,ARO CENTRO TULUA,5
2026,2026,3,76616,RIOFRIO,1,SI,ARO CENTRO TULUA,7
2026,2026,3,76616,RIOFRIO,2,NO,ARO CENTRO TULUA,3
2026,2026,3,76616,RIOFRIO,2,SI,ARO CENTRO TULUA,5
2026,2026,3,76616,RIOFRIO,3,NO,ARO CENTRO TULUA,5
2026,2026,3,76616,RIOFRIO,3,SI,ARO CENTRO TULUA,3
2026,2026,3,76622,ROLDANILLO,1,NO,ARO NORTE CARTAGO,13
2026,2026,3,76622,ROLDANILLO,1,SI,ARO NORTE CARTAGO,8
2026,2026,3,76670,SAN PEDRO,1,NO,ARO CENTRO TULUA,3
2026,2026,3,76670,SAN PEDRO,1,SI,ARO CENTRO TULUA,2
2026,2026,3,76736,SEVILLA,1,NO,ARO CENTRO TULUA,5
2026,2026,3,76736,SEVILLA,1,SI,ARO CENTRO TULUA,13
2026,2026,3,76736,SEVILLA,2,NO,ARO CENTRO TULUA,6
2026,2026,3,76736,SEVILLA,2,SI,ARO CENTRO TULUA,2
2026,2026,3,76823,TORO,1,NO,ARO NORTE CARTAGO,2
2026,2026,3,76823,TORO,1,SI,ARO NORTE CARTAGO,7
2026,2026,3,76823,TORO,2,NO,ARO NORTE CARTAGO,3
2026,2026,3,76823,TORO,2,SI,ARO NORTE CARTAGO,3
2026,2026,3,76823,TORO,3,SI,ARO NORTE CARTAGO,1
2026,2026,3,76828,TRUJILLO,1,NO,ARO CENTRO TULUA,3
2026,2026,3,76828,TRUJILLO,1,SI,ARO CENTRO TULUA,6
2026,2026,3,76828,TRUJILLO,2,NO,ARO CENTRO TULUA,1
2026,2026,3,76828,TRUJILLO,2,SI,ARO CENTRO TULUA,1
2026,2026,3,76845,ULLOA,1,SI,ARO NORTE CARTAGO,3
2026,2026,3,76845,ULLOA,2,SI,ARO NORTE CARTAGO,1
2026,2026,3,76863,VERSALLES,1,NO,ARO NORTE CARTAGO,2
2026,2026,3,76863,VERSALLES,1,SI,ARO NORTE CARTAGO,1
2026,2026,3,76890,YOTOCO,1,SI,ARO CENTRO TULUA,10
2026,2026,3,76895,ZARZAL,1,SI,ARO CENTRO TULUA,19
2026,2026,3,76895,ZARZAL,2,SI,ARO CENTRO TULUA,6
2026,2026,4,76020,ALCALA,1,SI,ARO NORTE CARTAGO,6
2026,2026,4,76020,ALCALA,2,NO,ARO NORTE CARTAGO,1
2026,2026,4,76020,ALCALA,2,SI,ARO NORTE CARTAGO,3
2026,2026,4,76036,ANDALUCIA,1,NO,ARO CENTRO TULUA,1
2026,2026,4,76041,ANSERMANUEVO,1,NO,ARO NORTE CARTAGO,2
2026,2026,4,76041,ANSERMANUEVO,1,SI,ARO NORTE CARTAGO,11
2026,2026,4,76041,ANSERMANUEVO,2,NO,ARO NORTE CARTAGO,2
2026,2026,4,76041,ANSERMANUEVO,2,SI,ARO NORTE CARTAGO,6
2026,2026,4,76041,ANSERMANUEVO,3,NO,ARO NORTE CARTAGO,2
2026,2026,4,76041,ANSERMANUEVO,3,SI,ARO NORTE CARTAGO,2
2026,2026,4,76054,ARGELIA,1,SI,ARO NORTE CARTAGO,6
2026,2026,4,76054,ARGELIA,2,SI,ARO NORTE CARTAGO,4
2026,2026,4,76054,ARGELIA,3,SI,ARO NORTE CARTAGO,4
2026,2026,4,76100,BOLIVAR,1,NO,ARO CENTRO TULUA,5
2026,2026,4,76100,BOLIVAR,1,SI,ARO CENTRO TULUA,3
2026,2026,4,76100,BOLIVAR,2,NO,ARO CENTRO TULUA,4
2026,2026,4,76113,BUGALAGRANDE,1,NO,ARO CENTRO TULUA,3
2026,2026,4,76113,BUGALAGRANDE,1,SI,ARO CENTRO TULUA,6
2026,2026,4,76113,BUGALAGRANDE,2,NO,ARO CENTRO TULUA,1
2026,2026,4,76113,BUGALAGRANDE,2,SI,ARO CENTRO TULUA,2
