anio,anio_evento,mes,codigo_dane,municipio,area_operativa,especie,sector,provocado,condicion_vacunacion,seguimiento_3_visitas,estado_animal,eventos
2026,2025,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,3
2026,2025,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,NO,NO VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,SI,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76248,EL CERRITO,ARO SUR CALI,FELINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76248,EL CERRITO,ARO SUR CALI,FELINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,3
2026,2025,12,76248,EL CERRITO,ARO SUR CALI,FELINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76248,EL CERRITO,ARO SUR CALI,OTRO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76250,EL DOVIO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76250,EL DOVIO,ARO NORTE CARTAGO,CANINO,URBANO,NO,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76250,EL DOVIO,ARO NORTE CARTAGO,FELINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025,12,76250,EL DOVIO,ARO NORTE CARTAGO,FELINO,RURAL,SI,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76275,FLORIDA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025,12,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,7
2026,2025,12,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,NO,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,2
2026,2025,12,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76275,FLORIDA,ARO SUR CALI,FELINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76275,FLORIDA,ARO SUR CALI,OTRO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76306,GINEBRA,ARO SUR CALI,CANINO,RURAL,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,2
2026,2025,12,76306,GINEBRA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76306,GINEBRA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76306,GINEBRA,ARO SUR CALI,CANINO,URBANO,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76306,GINEBRA,ARO SUR CALI,FELINO,RURAL,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76306,GINEBRA,ARO SUR CALI,FELINO,URBANO,NO,NO VACUNADO,2 VISITAS,PERDIDO O DESAPARECIDO,1
2026,2025,12,76306,GINEBRA,ARO SUR CALI,FELINO,URBANO,NO,VACUNADO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76306,GINEBRA,ARO SUR CALI,FELINO,URBANO,SI,VACUNADO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025,12,76306,GINEBRA,ARO SUR CALI,FELINO,URBANO,SI,VACUNADO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76318,GUACARI,ARO SUR CALI,CANINO,RURAL,NO,VACUNADO,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,SIN CLASIFICAR,1
2026,2025,12,76318,GUACARI,ARO SUR CALI,CANINO,RURAL,NO,VACUNADO,CUMPLE,SIN CLASIFICAR,1
2026,2025,12,76318,GUACARI,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76318,GUACARI,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76318,GUACARI,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,2 VISITAS,SIN CLASIFICAR,1
2026,2025,12,76318,GUACARI,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,SIN CLASIFICAR,2
2026,2025,12,76318,GUACARI,ARO SUR CALI,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025,12,76318,GUACARI,ARO SUR CALI,CANINO,URBANO,SI,VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025,12,76318,GUACARI,ARO SUR CALI,FELINO,URBANO,NO,DESCONOCIDO,2 VISITAS,NO OBSERVABLE,1
2026,2025,12,76318,GUACARI,ARO SUR CALI,FELINO,URBANO,SI,DESCONOCIDO,2 VISITAS,NO OBSERVABLE,1
2026,2025,12,76377,LA CUMBRE,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,2
2026,2025,12,76377,LA CUMBRE,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,2
2026,2025,12,76377,LA CUMBRE,ARO SUR CALI,CANINO,RURAL,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
