anio,fecha_agresion,fecha_primera_visita,mes,codigo_dane,municipio,area_operativa,especie,sector,provocado,condicion_vacunacion,seguimiento_3_visitas,estado_animal,eventos
2026,2025-12-21,2026-01-28,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-21,2026-01-29,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-22,2026-01-07,12,76248,EL CERRITO,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-22,2026-01-08,12,76233,DAGUA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,OBSERVADO SANO,1
2026,2025-12-22,2026-01-08,12,76400,LA UNION,ARO NORTE CARTAGO,CANINO,RURAL,SI,NO VACUNADO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-22,2026-01-09,12,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,RURAL,SI,VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025-12-22,2026-01-14,12,76275,FLORIDA,ARO SUR CALI,OTRO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-22,2026-01-28,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,2
2026,2025-12-22,2026-01-30,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-23,2026-01-05,12,76318,GUACARI,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,2 VISITAS,SIN CLASIFICAR,1
2026,2025-12-23,2026-01-06,12,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-23,2026-01-06,12,76869,VIJES,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-23,2026-01-07,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-23,2026-01-07,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,SI,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025-12-23,2026-01-08,12,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,2 VISITAS,SIN CLASIFICAR,1
2026,2025-12-23,2026-01-08,12,76243,EL AGUILA,ARO NORTE CARTAGO,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025-12-23,2026-01-15,12,76377,LA CUMBRE,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-23,2026-01-16,12,76233,DAGUA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-23,2026-01-16,12,76828,TRUJILLO,ARO CENTRO TULUA,OTRO,RURAL,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-23,2026-01-21,12,76054,ARGELIA,ARO NORTE CARTAGO,CANINO,RURAL,SI,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025-12-23,2026-01-24,12,76100,BOLIVAR,ARO CENTRO TULUA,CANINO,RURAL,NO,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025-12-23,2026-01-29,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-23,2026-02-13,12,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-24,2026-01-05,12,76126,CALIMA,ARO CENTRO TULUA,CANINO,URBANO,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-24,2026-01-05,12,76497,OBANDO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-24,2026-01-06,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-24,2026-01-06,12,76250,EL DOVIO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-24,2026-01-06,12,76616,RIOFRIO,ARO CENTRO TULUA,FELINO,URBANO,NO,NO VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025-12-24,2026-01-07,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,2
2026,2025-12-24,2026-01-14,12,76248,EL CERRITO,ARO SUR CALI,CANINO,RURAL,NO,VACUNADO,1 VISITA,MUERTO,1
2026,2025-12-24,2026-01-14,12,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-24,2026-01-14,12,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,URBANO,NO,VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025-12-24,2026-01-16,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025-12-24,2026-01-16,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-24,2026-01-16,12,76233,DAGUA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
