anio,fecha_apertura,fecha_agresion,mes,codigo_dane,municipio,area_operativa,especie,categoria_visitas,seguimiento_3_visitas,estado_animal,eventos
2026,2026-01-08,2025-12-22,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-08,2025-12-22,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-08,2025-12-23,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-08,2025-12-23,1,76243,EL AGUILA,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVADO,1
2026,2026-01-08,2025-12-30,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-08,2025-12-31,1,76041,ANSERMANUEVO,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,OBSERVADO SANO,1
2026,2026-01-08,2026-01-02,1,76041,ANSERMANUEVO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVADO,1
2026,2026-01-08,2026-01-05,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,3 O MÁS VISITAS,CUMPLE,SIN CLASIFICAR,1
2026,2026-01-08,2026-01-06,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-08,2026-01-06,1,76497,OBANDO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVADO,1
2026,2026-01-08,2026-01-08,1,76400,LA UNION,ARO NORTE CARTAGO,FELINO,3 O MÁS VISITAS,CUMPLE,NO OBSERVABLE,1
2026,2026-01-08,2026-01-09,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-09,,1,76377,LA CUMBRE,ARO SUR CALI,OTRO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-09,,1,76869,VIJES,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,CALLEJERO,1
2026,2026-01-09,2025-12-14,1,76377,LA CUMBRE,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-09,2025-12-15,1,76377,LA CUMBRE,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-09,2025-12-17,1,76670,SAN PEDRO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-09,2025-12-17,1,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-09,2025-12-19,1,76377,LA CUMBRE,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
