PERIODO_NORMALIZADO,PERIODO_ORDEN,MUNICIPIO_NORMALIZADO,ARO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Enero - Marzo,1,GUACARI,CALI,2026,6,1,6,19.0,15.0,4.0,4.0,0.0,0.7894736842105263,0.7894736842105263,Medio
Enero - Marzo,1,LA CUMBRE,CALI,2026,8,2,7,49.0,18.0,31.0,32.0,1.0,0.3673469387755102,0.3673469387755102,Bajo
Enero - Marzo,1,LA UNION,CARTAGO,2026,9,2,9,37.0,21.0,16.0,16.0,0.0,0.5675675675675675,0.5675675675675675,Bajo
Enero - Marzo,1,LA VICTORIA,CARTAGO,2026,8,3,5,14.0,8.0,6.0,6.0,0.0,0.5714285714285714,0.5714285714285714,Bajo
Enero - Marzo,1,MESAS TECNICAS,CALI,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,MESAS TECNICAS,CARTAGO,2026,2,2,1,8.0,4.0,4.0,4.0,0.0,0.5,0.5,Bajo
Enero - Marzo,1,OBANDO,CARTAGO,2026,11,3,5,26.0,20.0,6.0,6.0,0.0,0.7692307692307693,0.7692307692307693,Medio
Enero - Marzo,1,PRADERA,CALI,2026,5,1,5,20.0,2.0,18.0,18.0,0.0,0.1,0.1,Crítico
Enero - Marzo,1,RESTREPO,TULUA,2026,6,1,6,49.0,49.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,RIOFRIO,TULUA,2026,6,1,6,49.0,49.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,ROLDANILLO,CARTAGO,2026,9,2,9,38.0,25.0,13.0,15.0,2.0,0.6578947368421053,0.6578947368421053,Medio
Enero - Marzo,1,RUTA DE MUESTREOS,TULUA,2026,1,1,1,12.0,2.0,10.0,10.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
Enero - Marzo,1,SAN PEDRO,TULUA,2026,6,1,6,12.0,12.0,0.0,1.0,1.0,1.0,1.0,Cumplido
Enero - Marzo,1,SEVILLA,TULUA,2026,4,1,4,59.0,38.0,21.0,21.0,0.0,0.6440677966101694,0.6440677966101694,Medio
Enero - Marzo,1,TORO,CARTAGO,2026,6,2,3,18.0,15.0,3.0,3.0,0.0,0.8333333333333334,0.8333333333333334,Cumplido
Enero - Marzo,1,TRUJILLO,TULUA,2026,6,1,6,31.0,31.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,ULLOA,CARTAGO,2026,10,2,7,14.0,16.0,-2.0,0.0,2.0,1.1428571428571428,1.0,Supera meta
Enero - Marzo,1,VERSALLES,CARTAGO,2026,9,2,9,30.0,27.0,3.0,5.0,2.0,0.9,0.9,Cumplido
Enero - Marzo,1,VIJES,CALI,2026,7,2,6,46.0,30.0,16.0,17.0,1.0,0.6521739130434783,0.6521739130434783,Medio
Enero - Marzo,1,YOTOCO,TULUA,2026,6,1,6,61.0,62.0,-1.0,0.0,1.0,1.0163934426229508,1.0,Supera meta
Enero - Marzo,1,ZARZAL,TULUA,2026,4,1,4,4.0,4.0,0.0,0.0,0.0,1.0,1.0,Cumplido
