PERIODO_NORMALIZADO,PERIODO_ORDEN,ACTIVIDADES,CODIGO,CODIGO_ACTIVIDAD,ARO,TIPO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Enero - Junio,2,Operativo,1.5,1.5,CARTAGO,CONTRATISTA,2026,2,2,1,14.0,0.0,14.0,14.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,Operativo,1.5,1.5,CARTAGO,PLANTA,2026,1,1,1,6.0,0.0,6.0,6.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,Operativo,1.5,1.5,TULUA,CONTRATISTA,2026,3,3,1,23.0,1.0,22.0,22.0,0.0,0.043478260869565216,0.043478260869565216,Crítico
Enero - Junio,2,Operativo,1.7,1.7,CARTAGO,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,1.8,1.8,CALI,PLANTA,2026,1,1,1,11.0,6.0,5.0,5.0,0.0,0.5454545454545454,0.5454545454545454,Bajo
Enero - Junio,2,Operativo,1.8,1.8,CARTAGO,PLANTA,2026,1,1,1,10.0,13.0,-3.0,0.0,3.0,1.3,1.0,Supera meta
Enero - Junio,2,Operativo,1.8,1.8,TULUA,PLANTA,2026,1,1,1,24.0,16.0,8.0,8.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,Operativo,2.1,2.1,CALI,CONTRATISTA,2026,1,1,1,0.0,1.0,-1.0,0.0,1.0,,,Sin dato
Enero - Junio,2,Operativo,2.1,2.1,CARTAGO,PLANTA,2026,2,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,Operativo,2.10,2.10,CALI,CONTRATISTA,2026,3,3,1,3.0,1.0,2.0,2.0,0.0,0.3333333333333333,0.3333333333333333,Bajo
Enero - Junio,2,Operativo,2.10,2.10,CALI,PLANTA,2026,2,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,Operativo,2.10,2.10,CARTAGO,CONTRATISTA,2026,5,1,1,5.0,5.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,2.10,2.10,CARTAGO,PLANTA,2026,4,2,1,4.0,2.0,2.0,2.0,0.0,0.5,0.5,Bajo
Enero - Junio,2,Operativo,2.10,2.10,TULUA,CONTRATISTA,2026,9,3,1,10.0,10.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,2.10,2.10,TULUA,PLANTA,2026,1,1,1,1.0,2.0,-1.0,0.0,1.0,2.0,1.0,Supera meta
Enero - Junio,2,Operativo,2.18,2.18,CALI,PLANTA,2026,1,1,1,0.0,1.0,-1.0,0.0,1.0,,,Sin dato
Enero - Junio,2,Operativo,2.2,2.2,TULUA,CONTRATISTA,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,2.2,2.2,TULUA,PLANTA,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,Operativo,2.20,2.20,CALI,CONTRATISTA,2026,4,4,1,4.0,4.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,2.20,2.20,CALI,PLANTA,2026,1,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,Operativo,2.20,2.20,CARTAGO,CONTRATISTA,2026,2,2,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,2.20,2.20,CARTAGO,PLANTA,2026,2,2,1,4.0,1.0,3.0,3.0,0.0,0.25,0.25,Crítico
Enero - Junio,2,Operativo,2.20,2.20,TULUA,CONTRATISTA,2026,3,3,1,3.0,3.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,2.3,2.3,CALI,CONTRATISTA,2026,3,3,1,3.0,2.0,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,Operativo,2.3,2.3,CALI,PLANTA,2026,7,1,1,2.0,7.0,-5.0,0.0,5.0,3.5,1.0,Supera meta
Enero - Junio,2,Operativo,2.3,2.3,CARTAGO,CONTRATISTA,2026,6,1,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,2.3,2.3,CARTAGO,PLANTA,2026,6,2,1,6.0,8.0,-2.0,0.0,2.0,1.3333333333333333,1.0,Supera meta
Enero - Junio,2,Operativo,2.3,2.3,TULUA,CONTRATISTA,2026,8,3,1,8.0,8.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,2.3,2.3,TULUA,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,5.2,5.2,CARTAGO,CONTRATISTA,2026,2,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,5.2,5.2,CARTAGO,PLANTA,2026,4,1,1,7.0,4.0,3.0,3.0,0.0,0.5714285714285714,0.5714285714285714,Bajo
Enero - Junio,2,Operativo,5.24,5.24,CARTAGO,PLANTA,2026,4,1,1,10.0,6.0,4.0,4.0,0.0,0.6,0.6,Bajo
Enero - Junio,2,Operativo,5.34,5.34,CARTAGO,CONTRATISTA,2026,2,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,5.4,5.4,CARTAGO,PLANTA,2026,4,1,1,20.0,19.0,1.0,2.0,1.0,0.95,0.95,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,CALI,CONTRATISTA,2026,8,4,1,66.0,19.0,47.0,47.0,0.0,0.2878787878787879,0.2878787878787879,Crítico
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,CALI,PLANTA,2026,2,1,1,18.0,4.0,14.0,14.0,0.0,0.2222222222222222,0.2222222222222222,Crítico
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,CARTAGO,CONTRATISTA,2026,4,2,1,30.0,31.0,-1.0,0.0,1.0,1.0333333333333334,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,CARTAGO,PLANTA,2026,4,2,1,36.0,35.0,1.0,18.0,17.0,0.9722222222222222,0.9722222222222222,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,TULUA,CONTRATISTA,2026,6,3,1,44.0,44.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,TULUA,PLANTA,2026,2,1,1,30.0,26.0,4.0,24.0,20.0,0.8666666666666667,0.8666666666666667,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,CALI,CONTRATISTA,2026,4,4,1,52.0,19.0,33.0,33.0,0.0,0.36538461538461536,0.36538461538461536,Bajo
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,CALI,PLANTA,2026,1,1,1,23.0,8.0,15.0,15.0,0.0,0.34782608695652173,0.34782608695652173,Bajo
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,CARTAGO,CONTRATISTA,2026,2,2,1,20.0,22.0,-2.0,0.0,2.0,1.1,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,CARTAGO,PLANTA,2026,2,2,1,46.0,8.0,38.0,38.0,0.0,0.17391304347826086,0.17391304347826086,Crítico
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,TULUA,CONTRATISTA,2026,3,3,1,30.0,31.0,-1.0,0.0,1.0,1.0333333333333334,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,TULUA,PLANTA,2026,1,1,1,26.0,11.0,15.0,15.0,0.0,0.4230769230769231,0.4230769230769231,Bajo
