No.;CODIGO_ANTERIOR;CODIGO_SISTEMA;Latitud_X;Longitud_Y;MUNICIPIO;TIPO;CODIGO IVC2;CODIGO MUESTREO;CODIGO_AT;ID_SSPD;TIPO_SISTEMA_TRATAMIENTO;TIPO_SISTEMA_TRATAMIENTO_AGRUPADO;ALGUN_TIPO_TRATAMIENTO;LOCALIDADES ABASTECIDAS;NUMERO_LOCALIDADES;ARO;Persona Prestadora;Forma_organizativa;Registrados_SSPD;SIVICAP_Registrados_SSPD;SUSCRIPTORES;POBLACION;Ultimo_IRCA_reportado;Nivel_Riesgo_ultimo_IRCA;Fecha_Ultimo_IRCA_reportado;Punto_Toma_Ultimo_IRCA;IRCA_2020;Nivel_de_Riesgo_2020;Fecha_Ultimo_IRCA_2020;Punto_Muestreo_2020;IRCA_2021;Nivel_de_Riesgo_2021;Fecha_Ultimo_IRCA_2021;Punto_Muestreo_2021;IRCA_2022;Nivel_de_Riesgo_2022;Fecha_Ultimo_IRCA_2022;Punto_Muestreo_2022;IRCA_2023;Nivel_de_Riesgo_2023;Fecha_Ultimo_IRCA_2023;Punto_Muestreo_2023;IRCA_2024;Nivel_de_Riesgo_2024;Fecha_Ultimo_IRCA_2024;Punto_Muestreo_2024;IRCA_2025;Nivel_de_Riesgo_2025;Fecha_Ultimo_IRCA_2025;Punto_Muestreo_2025;IRCA_2026;Nivel_de_Riesgo_2026;Fecha_Ultimo_IRCA_2026;Punto_Toma_2026;IRCA_Promedio;Img_bocatoma;Nivel de Riesgo_2020;Fecha ultimo IRCA_2020;Nivel de Riesgo_2021;Fecha ultimo IRCA_2021;Nivel de Riesgo_2022;Fecha ultimo IRCA_2022;Nivel de Riesgo_2023;FECHA_IRCA_2023;Fecha_IRCA_2024;Nivel_Riesgo_2025;Punto_Toma_2025
504;58644;1124;3.966808;-76.166781;SAN PEDRO;DISPERSA;58644;115171;114214;;SOLUCIONES_INDIVIDUALES;Soluciones_Individuales;No;MONTERREDONDO;1;CENTRO TULUA;ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP;AUTOGESTION;;;120;480;7.34;;18/03/2026;Filtro;72.19;ALTO;17/11/2020;Sin Dato;85.27;INVIABLE SANITARIAMENTE;27/04/2021;Sin Dato;0.00;SIN RIESGO;31/08/2022;Sin Dato;65.25;ALTO;08/03/2023;Sin Dato;51.06;ALTO;23/10/2024;Grifo;;;;Sin Dato;7.34;BAJO;18/03/2026;Filtro;46.85;;ALTO;17/11/2020;INVIABLE SANITARIAMENTE;27/04/2021;SIN RIESGO;31/08/2022;ALTO;08/03/2023;23/10/2024;;Sin Dato
506;62255;16655;3.943625;-76.167728;SAN PEDRO;DISPERSA;62255;113455;;;NINGUNO;Ninguno;No;POSITOS;1;CENTRO TULUA;JUNTA ADMINISTRADORA ACUEDUCTO POSITOS;AUTOGESTION;;;30;120;85.27;;27/04/2021;Grifo;63.58;ALTO;06/07/2020;Sin Dato;85.27;INVIABLE SANITARIAMENTE;27/04/2021;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Toma;74.42;;ALTO;06/07/2020;INVIABLE SANITARIAMENTE;27/04/2021;;;;;;;Sin Dato
668;149455;928;4.019367;-76.318661;SAN PEDRO;DISPERSA;149455;149457;149456;;NINGUNO;Ninguno;No;PREDIO LA CAMILA;2;CENTRO TULUA;ASOCIACION DE PRODUCTORES AGROPECUARIOS VICTIMAS DEL CONFLICTO ARMADO DE COLOMBIA -;AUTOGESTION;;;70;0;1.46;;18/03/2026;Grifo;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;22.70;MEDIO;17/05/2023;Sin Dato;22.70;MEDIO;13/10/2024;Grifo;61.65;ALTO;08/09/2025;Grifo;1.46;SIN RIESGO;18/03/2026;Grifo;27.13;;;;;;;;MEDIO;17/05/2023;13/10/2024;ALTO;Grifo
524;115587;3282;4.206792;-75.917064;SEVILLA;DISPERSA;115587;115203;115558;;SOLO DESINFECCION;Solo desinfección;No;ALTO RECREO;1;CENTRO TULUA;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA ALTO DEL RECREO;AUTOGESTION;;;70;280;60.15;;11/02/2026;Grifo;57.14;ALTO;19/08/2020;Sin Dato;86.61;INVIABLE SANITARIAMENTE;02/03/2021;Sin Dato;63.58;ALTO;21/06/2022;Sin Dato;57.55;ALTO;08/02/2023;Sin Dato;58.39;ALTO;19/11/2024;Grifo;60.15;ALTO;08/09/2025;Grifo;60.15;ALTO;11/02/2026;Grifo;63.37;;ALTO;19/08/2020;INVIABLE SANITARIAMENTE;02/03/2021;ALTO;21/06/2022;ALTO;08/02/2023;19/11/2024;ALTO;Grifo
525;58645;14773;4.409606;-75.897917;SEVILLA;CENTRO POBLADO;58645;115172;143582;;SOLUCIONES_INDIVIDUALES;Soluciones_Individuales;No;BUENOS AIRES;2;CENTRO TULUA;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA BUENOS AIRES - AGUAVIVA;AUTOGESTION;;;119;476;0.00;SIN RIESGO;11/02/2026;Grifo;1.75;SIN RIESGO;26/02/2020;Sin Dato;2.52;SIN RIESGO;03/02/2021;Sin Dato;1.75;SIN RIESGO;26/04/2022;Sin Dato;2.13;SIN RIESGO;27/02/2023;Sin Dato;45.87;ALTO;10/09/2024;Grifo;0.00;SIN RIESGO;08/09/2025;Grifo;0.00;SIN RIESGO;11/02/2026;Grifo;7.72;;SIN RIESGO;26/02/2020;SIN RIESGO;03/02/2021;SIN RIESGO;26/04/2022;SIN RIESGO;27/02/2023;10/09/2024;SIN RIESGO;Grifo
667;113710;2078;4.163933;-75.907339;SEVILLA;DISPERSA;113710;113709;;;NINGUNO;Ninguno;No;CEBOLLAL;1;CENTRO TULUA;ACUEDUCTO EL CEBOLLAL;AUTOGESTION;;;34;136;56.74;;13/03/2024;Grifo;;;;Sin Dato;85.27;INVIABLE SANITARIAMENTE;24/06/2021;Sin Dato;82.48;INVIABLE SANITARIAMENTE;09/11/2022;Sin Dato;86.52;INVIABLE SANITARIAMENTE;13/03/2023;Sin Dato;56.74;ALTO;13/03/2024;Grifo;;;;Sin Dato;;;;Sin Toma;77.75;;;;INVIABLE SANITARIAMENTE;24/06/2021;INVIABLE SANITARIAMENTE;09/11/2022;INVIABLE SANITARIAMENTE;13/03/2023;13/03/2024;;Sin Dato
511;103485;2162;4.056972;-75.919475;SEVILLA;DISPERSA;103485;113237;;;SOLO DESINFECCION;Solo desinfección;No;CIELO ROTO CANOAS;3;CENTRO TULUA;ACUEDUCTO CIELO ROTO CANOAS;AUTOGESTION;;;33;132;;;;Sin Toma;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Toma;;;;;;;;;;;;;Sin Dato
523;58769;2082;4.222825;-75.956038;SEVILLA;DISPERSA;58769;115173;125348;;NINGUNO;Ninguno;No;COLORADAS;1;CENTRO TULUA;ASOCIACION DE USUARIOS DEL ACUEDUCTO AGUA COLORADAS;AUTOGESTION;;;140;560;94.57;;17/02/2025;Grifo;72.19;ALTO;20/10/2020;Sin Dato;92.44;INVIABLE SANITARIAMENTE;03/02/2021;Sin Dato;89.05;INVIABLE SANITARIAMENTE;09/11/2022;Sin Dato;56.74;ALTO;27/02/2023;Sin Dato;57.55;ALTO;17/10/2024;Grifo;94.57;INVIABLE SANITARIAMENTE;17/02/2025;Grifo;;;;Sin Toma;77.09;;ALTO;20/10/2020;INVIABLE SANITARIAMENTE;03/02/2021;INVIABLE SANITARIAMENTE;09/11/2022;ALTO;27/02/2023;17/10/2024;INVIABLE SANITARIAMENTE;Grifo
512;113723;10478;4.223300;-75.925147;SEVILLA;DISPERSA;113723;113722;126146;;NINGUNO;Ninguno;No;COMINALES;1;CENTRO TULUA;ACUEDUCTO COMINALES;AUTOGESTION;;;5;20;87.86;;03/06/2020;Grifo;87.86;INVIABLE SANITARIAMENTE;03/06/2020;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Toma;87.86;;INVIABLE SANITARIAMENTE;03/06/2020;;;;;;;;;Sin Dato
514;113662;558;4.274697;-75.947983;SEVILLA;DISPERSA;113662;113663;122779;;SOLO DESINFECCION;Solo desinfección;No;CONGAL ALTO;1;CENTRO TULUA;ACUEDUCTO DE USUARIOS CONGAL ALTO;AUTOGESTION;;;16;64;62.02;;27/04/2026;Grifo;81.29;INVIABLE SANITARIAMENTE;14/12/2020;Sin Dato;23.62;MEDIO;30/08/2021;Sin Dato;72.22;ALTO;06/12/2022;Sin Dato;30.22;MEDIO;08/02/2023;Sin Dato;57.55;ALTO;14/08/2024;Grifo;93.25;INVIABLE SANITARIAMENTE;21/10/2025;Grifo;62.02;ALTO;27/04/2026;Grifo;60.02;;INVIABLE SANITARIAMENTE;14/12/2020;MEDIO;30/08/2021;ALTO;06/12/2022;MEDIO;08/02/2023;14/08/2024;INVIABLE SANITARIAMENTE;Grifo
531;59785;264;4.395386;-75.916664;SEVILLA;CENTRO POBLADO;59785;115176;122231;24819;SOLO DESINFECCION;Solo desinfección;No;COROZAL;1;CENTRO TULUA;"ASOCIACION DE USUARIOS DEL CORREGIMIENTO DE COROZAL - ""AGUA-VITAL COROZAL""";EMPRESA DE SERVICIOS PUPLICOS;;;169;676;0.00;SIN RIESGO;27/04/2026;Grifo;1.75;SIN RIESGO;26/02/2020;Sin Dato;2.52;SIN RIESGO;03/02/2021;Sin Dato;1.75;SIN RIESGO;20/09/2022;Sin Dato;2.13;SIN RIESGO;27/02/2023;Sin Dato;0.00;SIN RIESGO;10/09/2024;Grifo;0.00;SIN RIESGO;08/09/2025;Grifo;0.00;SIN RIESGO;27/04/2026;Grifo;1.16;;SIN RIESGO;26/02/2020;SIN RIESGO;03/02/2021;SIN RIESGO;20/09/2022;SIN RIESGO;27/02/2023;10/09/2024;SIN RIESGO;Grifo
533;65144;3259;4.195325;-75.833333;SEVILLA;CENTRO POBLADO;65144;113674;111813;;SOLO DESINFECCION;Solo desinfección;No;CUMBARCO;1;CENTRO TULUA;ASOCIACION USUARIOS ACUEDUCTO CUMBARCO;AUTOGESTION;;;116;464;78.01;;09/04/2024;Grifo;0.00;SIN RIESGO;14/12/2020;Sin Dato;0.00;SIN RIESGO;02/03/2021;Sin Dato;89.94;INVIABLE SANITARIAMENTE;26/07/2022;Sin Dato;78.01;ALTO;19/04/2023;Sin Dato;78.01;ALTO;09/04/2024;Grifo;;;;Sin Dato;;;;Sin Toma;49.19;;SIN RIESGO;14/12/2020;SIN RIESGO;02/03/2021;INVIABLE SANITARIAMENTE;26/07/2022;ALTO;19/04/2023;09/04/2024;;Sin Dato
534;134707;;4.322467;-75.939017;SEVILLA;DISPERSA;134707;134709;134708;;NINGUNO;Ninguno;No;EL BAYANO;1;CENTRO TULUA;JUNTA ACUEDUCTO VEREDA EL BAYANO;AUTOGESTION;;;10;40;;;;Sin Toma;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Dato;;;;Sin Toma;;;;;;;;;;;;;Sin Dato
516;126907;196;4.287031;-75.902442;SEVILLA;DISPERSA;126907;127638;126909;;NINGUNO;Ninguno;No;EL CRUCERO;1;CENTRO TULUA;ACUEDUCTO RURAL EL CRUCERO - ACUACRUCERO;AUTOGESTION;;;16;64;60.15;;11/02/2026;Grifo;89.94;INVIABLE SANITARIAMENTE;18/11/2020;Sin Dato;85.27;INVIABLE SANITARIAMENTE;21/04/2021;Sin Dato;76.39;ALTO;06/12/2022;Sin Dato;56.74;ALTO;19/04/2023;Sin Dato;57.55;ALTO;10/09/2024;Grifo;60.15;ALTO;08/09/2025;Grifo;60.15;ALTO;11/02/2026;Grifo;69.46;;INVIABLE SANITARIAMENTE;18/11/2020;INVIABLE SANITARIAMENTE;21/04/2021;ALTO;06/12/2022;ALTO;19/04/2023;10/09/2024;ALTO;Grifo
528;65145;3284;4.248975;-75.950261;SEVILLA;DISPERSA;65145;112149;122257;24813;SOLUCIONES_INDIVIDUALES;Soluciones_Individuales;No;EL PURNIO;1;CENTRO TULUA;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LAS VEREDAS LA CRISTALINA Y PURNIO - AGUA PORVENIR PURNIO;EMPRESA DE SERVICIOS PUPLICOS;;;37;148;47.71;;24/03/2026;Filtro;72.19;ALTO;18/11/2020;Sin Dato;86.61;INVIABLE SANITARIAMENTE;02/03/2021;Sin Dato;65.09;ALTO;26/07/2022;Sin Dato;56.74;ALTO;13/03/2023;Sin Dato;58.39;ALTO;19/11/2024;Grifo;48.54;ALTO;08/09/2025;Filtro;47.71;ALTO;24/03/2026;Filtro;62.18;;ALTO;18/11/2020;INVIABLE SANITARIAMENTE;02/03/2021;ALTO;26/07/2022;ALTO;13/03/2023;19/11/2024;ALTO;Filtro
526;58792;542;4.244931;-75.902797;SEVILLA;DISPERSA;58792;113092;120849;;SOLO DESINFECCION;Solo desinfección;No;EL VENADO;1;CENTRO TULUA;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA EL VENADO;AUTOGESTION;;;98;392;51.80;;24/03/2026;Grifo;24.56;MEDIO;07/09/2020;Sin Dato;;;;Sin Dato;52.55;ALTO;24/10/2022;Sin Dato;30.22;MEDIO;24/01/2023;Sin Dato;8.63;BAJO;23/09/2024;Grifo;24.00;MEDIO;13/08/2025;Grifo;51.80;ALTO;24/03/2026;Grifo;31.96;;MEDIO;07/09/2020;;;ALTO;24/10/2022;MEDIO;24/01/2023;23/09/2024;MEDIO;Grifo
536;58938;198;4.410753;-75.882489;SEVILLA;CENTRO POBLADO;58938;113288;116096;;SOLO DESINFECCION;Solo desinfección;No;ESTACION CAICEDONIA;2;CENTRO TULUA;JUNTA ADMINISTRADORA DEL ACUEDUCTO DE LA VEREDA ESTACION CAICEDONIA;AUTOGESTION;;;113;452;0.00;SIN RIESGO;11/02/2026;Filtro;18.87;MEDIO;17/03/2020;Sin Dato;92.44;INVIABLE SANITARIAMENTE;03/02/2021;Sin Dato;90.64;INVIABLE SANITARIAMENTE;20/09/2022;Sin Dato;2.13;SIN RIESGO;27/02/2023;Sin Dato;0.00;SIN RIESGO;10/09/2024;Filtro;;;;Sin Dato;0.00;SIN RIESGO;11/02/2026;Filtro;34.01;;MEDIO;17/03/2020;INVIABLE SANITARIAMENTE;03/02/2021;INVIABLE SANITARIAMENTE;20/09/2022;SIN RIESGO;27/02/2023;10/09/2024;;Sin Dato
527;103481;2163;4.207778;-75.943056;SEVILLA;DISPERSA;103481;113236;144979;;SOLUCIONES_INDIVIDUALES;Soluciones_Individuales;No;LA FLORESTA;1;CENTRO TULUA;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA LA FLORESTA - ASUAFLORESTA;AUTOGESTION;;;12;36;94.57;;17/02/2025;Grifo;65.09;ALTO;20/10/2020;Sin Dato;85.27;INVIABLE SANITARIAMENTE;24/06/2021;Sin Dato;80.29;INVIABLE SANITARIAMENTE;09/11/2022;Sin Dato;78.01;ALTO;13/03/2023;Sin Dato;57.55;ALTO;17/10/2024;Grifo;94.57;INVIABLE SANITARIAMENTE;17/02/2025;Grifo;;;;Sin Toma;76.80;;ALTO;20/10/2020;INVIABLE SANITARIAMENTE;24/06/2021;INVIABLE SANITARIAMENTE;09/11/2022;ALTO;13/03/2023;17/10/2024;INVIABLE SANITARIAMENTE;Grifo
517;147988;2166;4.198567;-75.956744;SEVILLA;DISPERSA;147988;147990;147991;;NINGUNO;Ninguno;No;LA FLORIDA;1;CENTRO TULUA;ACUEDUCTO RURAL LA FLORIDA;AUTOGESTION;;;22;88;94.57;;17/02/2025;Grifo;;;;Sin Dato;;;;Sin Dato;90.78;INVIABLE SANITARIAMENTE;06/12/2022;Sin Dato;86.52;INVIABLE SANITARIAMENTE;13/03/2023;Sin Dato;57.55;ALTO;28/08/2024;Grifo;94.57;INVIABLE SANITARIAMENTE;17/02/2025;Grifo;;;;Sin Toma;82.36;;;;;;INVIABLE SANITARIAMENTE;06/12/2022;INVIABLE SANITARIAMENTE;13/03/2023;28/08/2024;INVIABLE SANITARIAMENTE;Grifo
