ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;ZONA_IRCA;DIRECCION_IRCA;NOMBRE_ABREVIADO_IRCA;TELEFONO_IRCA;ESTUDIANTES_ACTUAL;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;CONECTADA_ACUEDUCTO;NOMBRE_ACUEDUCTO;IRCA_ORIGINAL;NIVEL_RIESGO_IRCA;CODIGO_SISA_ACUEDUCTO;TRATAMIENTO_EN_ESCUELA;FUENTE_ABASTO;CALIFICACION_BLOQUE_AGUA;CONCEPTO_SANITARIO;FECHA_VISITA;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION_CRUCE;ID_SEDESUESVALLE;INSTITUCION_INS;SEDE_INS;ESTADO_SEDE;NATURALEZA;JORNADA;NIVEL_EDUCATIVO;DIRECCION_MAPA;LONGITUD;LATITUD;LONGITUD_SEDESUESVALLE;LATITUD_SEDESUESVALLE;LONGITUD_MEN;LATITUD_MEN;FUENTE_COORDENADA;ESTADO_COORDENADA;BENEFICIARIOS_PAE_2025_1SI;TOTAL_GENERAL_INS;MEN_ANIO;MEN_ESTABLECIMIENTO;MEN_SEDE;MEN_ZONA;MEN_DIRECCION;MEN_METODO_CRUCE;MEN_SCORE_CRUCE;GRUPO_SEGUIMIENTO;RIESGO_IRCA_AGRUPADO;BRECHAS_INFORMACION;TIENE_BRECHA_INFORMACION;CALIDAD_DATO_SEDE;INDICE_PRIORIDAD_SANITARIA_ESCOLAR;NIVEL_PRIORIDAD_ANALITICA;ACCION_SUGERIDA;SCORE_PRIORIDAD;NIVEL_PRIORIDAD
282;276126000109;CALIMA;I.E. SIMON BOLIVAR SEDE POLICARPA SALAVARRIETA;RURAL;VDA JIGUALES;POLICARPA SALAVARRIETA;3183908736;112;112;12;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUEDUCTO RURAL EL GUADUAL JIGUALES - ACUAJIGUALES;RIESGO ALTO;ALTO;3260;ACUEDUCTO RURAL;QUEBRADA LA FLORESTA;29,5/30;FAVORABLE CON REQUERIMIENTOS;2026-02-20;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;206;INSTITUCION EDUCATIVA SIMON BOLIVAR;POLICARPA SALAVARRIETA;ACTIVA;OFICIAL;COMPLETA;EDUCACIÓN MEDIA;IP JIGUALES;-76.45416655;3.913514263;-76.45416655;3.913514263;;;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;12;;;;;;SIN_CANDIDATOS_MUNICIPIO;;PRIORITARIO;Alto e inviable;SIN_BRECHAS;NO;ALTA;61.88;ALTA;Programar seguimiento operativo y verificar condiciones del sistema abastecedor.;6.47;ALTA
283;276126000222;CALIMA;I.E JOHN F KENNEDY SEDE NUESTRA SEÑORA DEL CARMEN;RURAL;VDA LA FLORIDA;NUESTRA SEÑORA DEL CARMEN;3158072315;18;18;18;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUEDUCTO RURAL FLORIDA  - ACUAFLORIDA;RIESGO ALTO;ALTO;3295;ACUEDUCTO RURAL;QUEBRADA LA FLORESTA;23/30;FAVORABLE CON REQUERIMIENTOS;2026-02-27;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;214;CENTRO EDUCATIVO JOHN F. KENNEDY;NUESTRA SEÑORA DEL CARMEN;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN BÁSICA PRIMARIA;CAS LA FLORIDA;-76.41811772;3.968777245;-76.41811772;3.968777245;;;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;18;;;;;;SIN_CANDIDATOS_MUNICIPIO;;PRIORITARIO;Alto e inviable;SIN_BRECHAS;NO;ALTA;57.04;ALTA;Programar seguimiento operativo y verificar condiciones del sistema abastecedor.;4.03;MEDIA
284;276863000039;VERSALLES;I.E LA INMACULADA SEDE SIMON BOLIVAR;RURAL;CORREGIMIENTO CAMPOALEGRE;SIMON BOLIVAR;3103477482;28;28;28;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUEDUCTO RURAL CAMPO ALEGRE;INVIABLE SANITARIAMENTE;INVIABLE SANITARIAMENTE;1259;FILTRO LIFESTRAW;QUEBRADA LA FLORESTA - QUEBRADA AGUASUCIAS;29/30;FAVORABLE;2025-11-25;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;879;INSTITUCION EDUCATIVA LA INMACULADA;SIMÓN BOLÍVAR;ACTIVA;OFICIAL;COMPLETA;EDUCACIÓN MEDIA;CORREGIMIENTO CAMPO ALEGRE;-76.15474327;4.618417861;-76.15474327;4.618417861;;;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;28;;;;;;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;PRIORITARIO;Alto e inviable;SIN_BRECHAS;NO;ALTA;68.34;ALTA;Priorizar revisión técnica, validación en campo y articulación con sector educativo.;5.85;MEDIA
285;276606000061;RESTREPO;I.E. TEODORO MUNERA HINCAPIE SEDE SAN PEDRO CLAVER;RURAL;VDA ALTO DEL OSO;SAN PEDRO CLAVER;3105001437;10;10;6;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION DE USUARIOS DEL ACUEDUCTO ALTO DEL OSO LA FLORIDA Y LA CAMELIA;RIESGO MEDIO;MEDIO;7545;FILTRO EKOFIL;QUEBRADA LA FLORIDA;28;FAVORABLE CON REQUERIMIENTOS;2025-09-19;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;635;INSTITUCION EDUCATIVA TEODORO MUNERA HINCAPIE;SAN PEDRO CLAVER;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN BÁSICA SECUNDARIA;VDA ALTO DEL OSO;-76.473591;3.823784;-76.473591;3.823784;-76.47;3.82;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;6;2.019;I.E. TEODORO MUNERA HINCAPIE;SAN PEDRO CLAVER;RURAL;VEREDA ALTO DEL OSO;COINCIDENCIA_NOMBRE_FUERTE;0.98;PREVENTIVO;Medio;SIN_BRECHAS;NO;ALTA;36.31;MEDIA;Mantener seguimiento preventivo dentro de la programación regular.;2.19;BAJA
286;276828000468;TRUJILLO;ESCUELA N. 39 JUAN XXIII;RURAL;CGTO LA SONORA;;3113750726;49;49;46;43;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION DE USUARIOS DEL ACUEDUCTO DEL CORREGIMIENTO DE LA SONORA - ACUASONORA;INVIABLE SANITARIAMENTE;INVIABLE SANITARIAMENTE;2729;ACUEDUCTO RURAL;QUEBRADA LA GAVIOTA;22.5;FAVORABLE CON REQUERIMIENTOS;2025-02-25;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;855;INSTITUCION EDUCATIVA SAN ISIDRO;JUAN XXIII;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN BÁSICA SECUNDARIA;CORREG LA SONORA;-76.387418;4.239981;-76.387418;4.239981;-76.39;4.24;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;46;2.019;IE SAN ISIDRO;JUAN XXIII;RURAL;CORREG LA SONORA;COINCIDENCIA_NOMBRE_FUERTE;0.93;PRIORITARIO;Alto e inviable;SIN_BRECHAS;NO;ALTA;73.42;ALTA;Priorizar revisión técnica, validación en campo y articulación con sector educativo.;7.14;ALTA
287;276243000691;EL AGUILA;I.E SANTA MARTA SEDE JOSE HERNANDO DUARTE;RURAL;VEREDA LA LINEA;JOSE HERNANDO DUARTE;3157220543;17;17;13;15;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION MUNICIPAL DE ACUEDUCTOS RURALES AGUA Y VIDA - LA LINEA;RIESGO ALTO;ALTO;3497;ACUEDUCTO RURAL;QUEBRADA LA GOLCONDA;30/30;FAVORABLE;2025-11-14;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;311;INSTITUCION EDUCATIVA SANTA MARTA;JOSE HERNANDO DUARTE;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN BÁSICA PRIMARIA;VDA LA LINEA;-76.06368756;4.877244296;-76.06368756;4.877244296;-76.06;4.88;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;13;2.019;IE SANTA MARTA;JOSE HERNANDO DUARTE;RURAL;VDA LA LINEA;COINCIDENCIA_NOMBRE_FUERTE;0.93;PRIORITARIO;Alto e inviable;SIN_BRECHAS;NO;ALTA;53.3;MEDIA;Programar seguimiento operativo y verificar condiciones del sistema abastecedor.;3.77;BAJA
288;276736000321;SEVILLA;I.E MARIA AUXILIADORA SEDE MARIA AUXILIADORA;RURAL;VEREDA LA MELVA;MARIA AUXILIADORA;3152679925;43;0;43;90;SEDESUESVALLE;COMPLEMENTADA_CON_SEDESUESVALLE;NO;SI;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LAS VEREDAS MIRAMAR Y LA MELVA (AGUAMIRAMELVA);RIESGO MEDIO;MEDIO;3278;;QUEBRADA LA GONDOLA;23;FAVORABLE CON REQUERIMIENTOS;2025-07-24;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;794;INSTITUCION EDUCATIVA MARIA AUXILIADORA.;MARIA AUXILIADORA;ACTIVA;OFICIAL;UNICA;EDUCACIÓN MEDIA;CORREG LA MELBA;-75.886666;4.249429;-75.886666;4.249429;-75.89;4.25;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;43;2.019;IE MARIA AUXILIADORA;MARIA AUXILIADORA;RURAL;VDA LA MELVA;COINCIDENCIA_NOMBRE_FUERTE;0.93;PREVENTIVO;Medio;SIN_BRECHAS;NO;ALTA;40.07;MEDIA;Mantener seguimiento preventivo dentro de la programación regular.;3.45;BAJA
289;176243000026;EL AGUILA;I.E EL AGUILA  SEDE JOSE MARIA CORDOBA;URBANO;CALLE 11 # 5  - 24;JOSE MARIA CORDOBA;3127952477;227;227;210;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;66;PLANTA ACUAVALLE S.A ESP;QUEBRADA LA GRANDE Y QUEBRADA LA FLORIDA;25/30;FAVORABLE;2026-01-28;COD_DANE_DUPLICADO+NOMBRE_EXACTO;CRUCE_OK_CONTROLADO;GEORREFERENCIADA;;287;INSTITUCION EDUCATIVA EL AGUILA;JOSÉ MARÍA CÓRDOBA;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN MEDIA;CRA 4 # 4-32;-76.04233103;4.910588;-76.04233103;4.910588;;;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;210;;;;;;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;RUTINARIO;Sin riesgo y bajo;SIN_BRECHAS;NO;ALTA;18.94;BAJA;Mantener seguimiento rutinario.;0.0;BAJA
290;176243000093;EL AGUILA;IE EL AGUILA SEDE ANTONIA SANTOS;URBANO;CALLE 6 # 3  - 06;ANTONIA SANTOS;3188758623;99;99;88;127;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;66;PLANTA ACUAVALLE S.A ESP;QUEBRADA LA GRANDE Y QUEBRADA LA FLORIDA;30/30;FAVORABLE;2026-01-29;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;286;INSTITUCION EDUCATIVA EL AGUILA;ANTONIA SANTOS;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN BÁSICA PRIMARIA;CLL 6 # 3-06;-76.042601243;4.90759365789;-76.042601243;4.90759365789;-76.04;4.91;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;88;2.019;IE EL AGUILA;ANTONIA SANTOS;URBANA;CLL 6 NO 3-06;COINCIDENCIA_NOMBRE_FUERTE;0.98;RUTINARIO;Sin riesgo y bajo;SIN_BRECHAS;NO;ALTA;16.7;BAJA;Mantener seguimiento rutinario.;0.0;BAJA
291;176243000107;EL AGUILA;I.E EL AGUILA SEDE SIMON BOLIVAR;URBANO;CALLE 11 # 5  - 24  ESQUINA;SIMON BOLIVAR;3127952477;57;57;54;80;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;66;PLANTA ACUAVALLE S.A ESP;QUEBRADA LA GRANDE Y QUEBRADA LA FLORIDA;25/30;FAVORABLE;2026-01-28;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;;306;INSTITUCION EDUCATIVA EL AGUILA;SIMON BOLIVAR;ACTIVA;OFICIAL;MAÑANA;EDUCACIÓN BÁSICA PRIMARIA;CLL 11 CRA 6 ESQ;-76.04206963;4.91082078;-76.04206963;4.91082078;-76.04;4.91;SEDESUESVALLE;COORDENADA_ORIGINAL_SEDESUESVALLE;1;54;2.019;IE EL AGUILA;SIMON BOLIVAR;URBANA;CLL 11 CR 6 ESQUINA;COINCIDENCIA_NOMBRE_FUERTE;0.93;RUTINARIO;Sin riesgo y bajo;SIN_BRECHAS;NO;ALTA;15.22;BAJA;Mantener seguimiento rutinario.;0.0;BAJA
292;276100000259;BOLIVAR;INSTITUCION EDUCATIVA PRIMAVERA;RURAL;CGTO PRIMAVERA-VEREDA EL EDEN;;3238023916;136;136;0;0;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SI;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE PRIMAVERA;RIESGO MEDIO;MEDIO;258;PLANTA;QUEBRADA LA GRECIA;25.0;FAVORABLE CON REQUERIMIENTOS;2025-06-10;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.444;PREVENTIVO;Medio;"SIN_COORDENADA; CRUCE_PENDIENTE";SI;MEDIA;45.15;MEDIA;Mantener seguimiento preventivo por matrícula significativa.;4.49;MEDIA
