ID_SEDE_IRCA;COD_DANE;MUNICIPIO_BASE;NOMBRE_SEDE_BASE;MEN_COINCIDE;MEN_METODO_CRUCE;MEN_SCORE_CRUCE;MEN_ANIO;MEN_ESTABLECIMIENTO;MEN_SEDE;MEN_TOTAL_MATRICULA;MEN_LATITUD;MEN_LONGITUD;MEN_COORDENADA_VALIDA;USO_COORDENADA_MEN;USO_MATRICULA_MEN
38;276403000235;LA VICTORIA;I.E NUESTRA SEÑORA DE LA PAZ SEDE MIGUEL MARIA DAVILA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.94;;;;0;;;NO;NO;NO
39;276243000772;EL AGUILA;I.E JUSTINIANO ECHAVARRIA SEDE QUENIER GIRALDO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JUSTINIANO ECHAVARRIA;QUENIER GIRALDO;12;4.94;-76.03;SI;NO;NO
40;276243000314;EL AGUILA;I.E EL AGUILA SEDE SAN AGUSTIN;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE EL AGUILA;SAN AGUSTÍN;7;4.94;-76.04;SI;NO;NO
41;176736000084;SEVILLA;I.E JORGE ELIECER GAITAN SEDE TOTORO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JORGE ELIECER GAITAN;JORGE ELIECER GAITAN;38;4.36;-75.93;SI;NO;NO
42;276403000146;LA VICTORIA;I.E NUESTRA SEÑORA DE LA PAZ SEDE CAMILO TORRES;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.932;;;;0;;;NO;NO;NO
43;276606000494;RESTREPO;IE JULIO FERNANDEZ MEDINA SEDE 20 DE JULIO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.98;2.019;IE JULIO FERNANDEZ MEDINA;MEDINA;182;3.81;-76.53;SI;NO;NO
44;276233000189;DAGUA;I.E. CRISTOBAL COLON SEDE SAN ANTONIO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
45;276670000449;SAN PEDRO;I.E JULIO CAICEDO TELLEZ SEDE SIMON BOLIVAR;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
46;276863000080;VERSALLES;I.E CARLOS HOLGUIN SARDI SEDE SAN ROQUE;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
47;276113000151;BUGALAGRANDE;I.E. ANTONIO NARIÑO SEDE CRISTOBAL COLON (I.D);NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
48;276113000142;BUGALAGRANDE;I.E. ANTONIO NARIÑO SEDE MANUELA BELTRAN;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
