ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;CANDIDATOS_POR_CODIGO;CANDIDATOS_POR_NOMBRE;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION
731;;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE FRANCISCO JOSE DE CALDAS-FUNDACION PRODESARROLLO COMUNITARIO;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
732;276622000372;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE TRECE DE JUNIO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
733;276622000381;ROLDANILLO;I.E BELISARIO PEÑA PINEIRO SEDE SANTA ISABEL;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
734;276622000305;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE RODRIGO LLOREDA CAICEDO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
735;;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE NUESTRA SEÑORA DEL CARMEN-FUNDACION PRODESARROLLO COMUNITARIO;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
736;276622000364;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE GENERAL ANZOATEGUI;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
737;276622000291;ROLDANILLO;I.E BELISARIO PEÑA PIÑEIRO SEDE SANTA CECILIA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
738;276622000348;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE ANTONIO VILLAVICENCIO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
739;176622000866;ROLDANILLO;I.E. NORMAL SUPERIOR JORGE ISAAC SEDE LIBARDO MADRID VALDERRAMA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
740;176622000017;ROLDANILLO;I.E. BELISARIO PEÑA PIÑEIRO SEDE SAN SEBASTIAN;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
741;176622000998;ROLDANILLO;I.E. BELISARIO PEÑA PIÑEIRO SEDE EUSTAQUIO PALACIOS;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
742;;ROLDANILLO;I.E. BELISARIO PEÑA PIÑEIRO SEDE PRINCIPAL;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
