CODIGO_SISA_ACUEDUCTO;NOMBRE_ACUEDUCTO;MUNICIPIOS;SEDES_TOTAL;ESTUDIANTES_TOTAL;SEDES_ALTO_INVIABLE;ESTUDIANTES_ALTO_INVIABLE;SEDES_CON_BRECHA;PRIORIDAD_MAXIMA;PRIORIDAD_PROMEDIO
892;ACUEDUCTO RURAL VEREDA CACERES;ROLDANILLO;1;11;0;0;0;10.94;10.94
895;ACUACAMPO: ISUGU EL SILENCIO PUERTO QUINTERO, CANDELARIA, PUEBLO NUEVO, EL RINCON, SIMON BOLIVAR Y REMOLINO;ROLDANILLO;7;47;0;0;0;15.15;11.52
910;ACUEDUCTO RURAL COMUNITARIO LA UNION CASCAJERO;ANDALUCÍA;1;17;0;0;0;15.65;15.65
915;ASOCIACION DE USUARIOS DEL ACUEDCUTO RURAL COMUNITARIO DEL CORREGIMIENTO LA MARIA;EL AGUILA;2;163;0;0;0;17.28;15.78
921;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN ISIDRO - ASUASANIS;BUGALAGRANDE;2;36;0;0;0;16.84;15.44
927;ASOCIACION DE SUSCRIPTORES ACUEDUCTO Y ALCANTARILLADO SAN JOSE - ASAAL;SAN PEDRO;2;62;0;0;0;17.81;17.12
930;ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DE LA VEREDA EL DIAMANTE ACUADIAMANTE;CALIMA;1;9;0;0;1;16.05;16.05
9345;ASOCIACION DE USUARIOS ACUEDUCTO EL VERGEL - ACUAVERGEL;ANSERMANUEVO;1;104;0;0;0;20.43;20.43
9612;ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DE LA VEREDA DE EL MIRADOR;CALIMA;1;67;0;0;1;43.25;43.25
9761;ASOCIACION COMUNITARIA AGUA PUDEMA-PUENTE BLANCO;TRUJILLO;1;104;0;0;0;20.43;20.43
978;ACUEDUCTO RURAL VEREDA LA MIRANDA;EL CAIRO;1;12;0;0;0;11.16;11.16
No Registra;ACUEDUCTO PROPIO;EL AGUILA;1;97;0;0;1;37.55;37.55
No Registra;ASOCIACION DE USUARIOS DE ACUEDUCTO EL PITAL;EL AGUILA;1;5;0;0;1;33.56;33.56
No Registra;JUNTA ADMINISTRADORA ACUEDUCTO LA ESTRELLA;EL AGUILA;2;12;0;0;2;34.34;33.95
No Registra;NO REGISTRA;ANSERMANUEVO, ARGELIA, EL AGUILA, EL CAIRO, EL DOVIO, LA UNION, OBANDO, ROLDANILLO, SAN PEDRO, TORO, VERSALLES;68;790;0;0;68;39.99;33.14
S.D;ACUAVALLE S.A ESP;BOLIVAR;1;0;0;0;1;12.2;12.2
S.D;ACUEDUCTO RURAL AGUAS LINDAS;BOLIVAR;1;12;0;0;1;35.66;35.66
S.D;ACUEDUCTO RURAL CRISTALES;BOLIVAR;1;35;0;0;1;38.43;38.43
S.D;ACUEDUCTO RURAL MORAVITO;BOLIVAR;1;8;0;0;1;34.66;34.66
S.D;ACUEDUTO RURAL DE DOS QUEBRDAS;BOLIVAR;1;8;0;0;1;34.66;34.66
S.D;NO REGISTRA;BOLIVAR, RIOFRIO;5;35;0;0;5;36.55;33.43
S.D;S.D;BOLIVAR, RIOFRIO, TRUJILLO;13;106;0;0;13;39.15;35.21
SD;ACUEDUCTO RURAL EL VERGEL;VERSALLES;1;10;0;0;1;31.61;31.61
SD;ACUEDUCTO RURAL PUERTO NUEVO;VERSALLES;1;19;0;0;1;33.23;33.23
SD;ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DE LA VEREDA LLANOGRANDE;EL CAIRO;1;6;0;0;1;33.98;33.98
SD;JUNTA ADMINISTRADORA  DE ACUEDUCTO DE RIO BRAVO;CALIMA;1;10;0;0;1;35.21;35.21
SD;JUNTA DE ACCION COMUNAL VEREDA EL CEDRO;TORO;1;7;0;0;1;34.34;34.34
SD;NO REGISTRA;CAICEDONIA, SEVILLA;14;209;0;0;14;41.2;34.28
SIN CODIGO SISA;ACUAVALLE S.A ESP;CAICEDONIA;3;396;0;0;1;23.08;19.47
SIN CODIGO SISA;ACUEDUCTO RURAL EL ORO;BOLIVAR;1;0;0;0;1;28.7;28.7
SIN CODIGO SISA;ACUVALLE S.A E.S.P;RIOFRIO;1;6;0;0;1;15.08;15.08
SIN CODIGO SISA;ALTAMIRA;FLORIDA;1;16;0;0;1;30.99;30.99
SIN CODIGO SISA;ASOCIACION ACUEDUCTO COMUNITARIO QUEBRADA CALABAZAS ACOCALABAZAS;VIJES;1;13;0;0;0;11.36;11.36
SIN CODIGO SISA;ASOCIACION COMUNITARIA ADMINISTRADORA ACUEDUCTO EL VERGEL;CALIMA;1;11;0;0;0;36.54;36.54
SIN CODIGO SISA;"ASOCIACION DE USUARIOS ACUEDUCTO DE ROBLEDO ""ASUACOR""";TRUJILLO;1;36;0;0;0;17.6;17.6
SIN CODIGO SISA;ASOCIACION DE USUARIOS DEL ACUEDUCTO LA COLONIA;BUGALAGRANDE;1;18;0;0;0;15.79;15.79
SIN CODIGO SISA;BOLO AZUL;PRADERA;1;4;0;0;1;27.67;27.67
SIN CODIGO SISA;BOLO BLANCO;PRADERA;1;2;0;0;1;26.28;26.28
SIN CODIGO SISA;CAÑAS ARRIBA;FLORIDA;1;7;0;0;1;28.94;28.94
SIN CODIGO SISA;CONSEJO COMUNITARIO CORREGIMIENTO LA ELSA;DAGUA;1;5;0;0;1;37.76;37.76
SIN CODIGO SISA;CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA VEREDA EL CAUCHAL    FILTROS;DAGUA;1;58;0;0;0;13.47;13.47
SIN CODIGO SISA;CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA VEREDA EL DANUBIO    FILTROS;DAGUA;1;5;0;0;0;7.26;7.26
SIN CODIGO SISA;EL SALADO;FLORIDA;1;28;0;0;1;32.44;32.44
SIN CODIGO SISA;GRANATES;FLORIDA;1;22;0;0;1;31.81;31.81
SIN CODIGO SISA;JUNTA ADMINISTRADORA ACUEDUCTO CORREGIMIENTO JUNTAS FILTROS;DAGUA;1;74;0;0;0;14.12;14.12
SIN CODIGO SISA;JUNTA DE ACCIÓN COMUNAL CORREGIMIENTO LA CASCADA;DAGUA;1;19;0;0;0;10.53;10.53
SIN CODIGO SISA;JUNTA DE ACCIÓN COMUNAL VEREDA EL PLACER;DAGUA;1;4;0;0;0;6.77;6.77
SIN CODIGO SISA;LA CUMBRE;FLORIDA;1;15;0;0;1;30.83;30.83
SIN CODIGO SISA;LA RIVERA;FLORIDA;1;30;0;0;1;32.62;32.62
SIN CODIGO SISA;LAS BRISAS-  MATEGUADUA;FLORIDA;1;20;0;0;1;31.56;31.56
SIN CODIGO SISA;LAS GUACAS;FLORIDA;1;18;0;0;1;31.29;31.29
SIN CODIGO SISA;LOMA GORDA;FLORIDA;2;301;0;0;2;38.79;31.98
SIN CODIGO SISA;NO REGISTRA;BOLIVAR, BUGALAGRANDE, LA CUMBRE;7;98;0;0;7;33.51;31.85
SIN CODIGO SISA;NUEVO HORIZONTE;FLORIDA;1;10;0;0;1;29.81;29.81
SIN CODIGO SISA;SIN NOMBRE DE ACUEDUCTO;BUGALAGRANDE, DAGUA;9;229;0;0;9;36.55;31.49
SIN CODIGO SISA;VILLA PINZON;FLORIDA;1;20;0;0;1;31.56;31.56
SIN DATO;ACUEDUCTO PROPIO;EL CERRITO;1;16;0;0;1;32.79;32.79
