CODIGO_SISA_ACUEDUCTO;NOMBRE_ACUEDUCTO;MUNICIPIOS;SEDES_TOTAL;ESTUDIANTES_TOTAL;SEDES_ALTO_INVIABLE;ESTUDIANTES_ALTO_INVIABLE;SEDES_CON_BRECHA;PRIORIDAD_MAXIMA;PRIORIDAD_PROMEDIO
120;SAN ISIDRO;PRADERA;1;20;1;20;0;61.51;61.51
18070;JUNTA ADMINISTRADORA ACUEDUCTO GUAQUEROS;SAN PEDRO;1;20;1;20;0;71.06;71.06
904;ASOCIACION DE USUARIOS ACUEDUCTO LA ALBANIA;EL AGUILA;1;20;1;20;0;53.71;53.71
1396;ACUEDUCTO CARRIZAL;EL CERRITO;1;19;1;19;0;53.58;53.58
2788;ACUEDUCTO ACUABETULIA;TRUJILLO;1;19;1;19;0;57.18;57.18
351;JUNTA DE ACCIÓN COMUNAL VEREDA LAS HERMOSAS;GINEBRA;1;19;1;19;0;61.38;61.38
3295;ACUEDUCTO RURAL FLORIDA  - ACUAFLORIDA;CALIMA;1;18;1;18;0;57.04;57.04
SIN CODIGO SISA;ACUEDUCTO RURAL SANTA ELENA;EL DOVIO;1;18;1;18;0;67.19;67.19
SIN CODIGO SISA;ADMINISTRACIÓN COOPERATIVA ULLOA E.S.P - SISTEMA #2 BERLÍN - MOCTEZUMA;ULLOA;1;18;1;18;0;57.04;57.04
SIN CODIGO SISA;DISTRITO DE RIEGO ASODIS ALTO BONITO;BUGALAGRANDE;1;18;1;18;0;57.04;57.04
2203;ACUEDUCTO RURAL CORREGIMIENTO LA SALMELIA;EL CAIRO;1;17;1;17;0;70.65;70.65
346;ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DE LA LOCALIDAD DE SANTA MARIA MUNICIPIO DE DAGUA - ACOACEDRO;DAGUA;1;17;1;17;0;61.1;61.1
3497;ASOCIACION MUNICIPAL DE ACUEDUCTOS RURALES AGUA Y VIDA - LA LINEA;EL AGUILA;1;17;1;17;0;53.3;53.3
527;ACUEDUCTO RURAL LA HONDURA;ANSERMANUEVO;1;17;1;17;0;56.9;56.9
SIN CODIGO SISA;ACUASALUD EL RETIRO;PRADERA;1;17;1;17;0;61.1;61.1
1052;JUNTA ADMINISTRATIVA DE ACUEDUCTO DEL CORREGIMIENTO CACHIMBAL JACA # 9 LA ESTRELLA;VIJES;1;16;1;16;0;60.94;60.94
2881;ACUEDUCTO COMUNITARIO CANAIMA;GINEBRA;1;16;1;16;0;74.69;74.69
499;ASOCIACION DE USUARIOS DE LOS ACUEDUCTOS EL JARDÍN CALIMITA;YOTOCO;1;16;1;16;0;70.49;70.49
9977;ACUEDUCTO ACUAMORROPLANCHO ALTO;RIOFRIO;1;16;1;16;0;56.74;56.74
1121;JUNTA ADMINISTRADORA ACUEDUCTO POTRERILLO;ANDALUCÍA;1;15;1;15;0;56.58;56.58
2147;ASOCIACION GESTORA COMUNITARIA DEL AGUA DEL CORREGIMIENTO LA CABAÑA;ANSERMANUEVO;1;15;1;15;0;70.33;70.33
231;ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDAS BUENAVISTA LA BOHEMIA;TRUJILLO;1;15;1;15;0;56.58;56.58
2766;ASOCIACION DE USUARIOS ACUEDUCTO AGUAS ARRIBA LA JUDEA;RIOFRIO;1;15;1;15;0;56.58;56.58
3954;ASOCIACION DE USUARIOS ACUEDUCTO SAN JOSE DEL SALADO PARTE ALTA - ASUSAL;DAGUA;1;15;1;15;0;60.78;60.78
1898;JUNTA DE ACCIÓN COMUNAL DE LA VEREDA PAN DE AZÚCAR (LA ESTRELLA);TORO;1;14;1;14;0;56.4;56.4
1906;ACUEDUCTO RURAL CORREGIMIENTO SAN JOSE;OBANDO;1;14;1;14;0;70.15;70.15
2564;COOPERATIVA MARAVELEZ ALCALA ESP - SISTEMA # 5;ALCALA;2;26;1;14;0;56.4;46.58
2787;ASOCIACION DE USUARIOS DEL SISTEMA DE SUMINISTRO DE AGUA RURAL COMUNITARIA DE LA VEREDA MUÑECOS;YOTOCO;1;14;1;14;0;70.15;70.15
919;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO LA QUIEBRA DE SAN PABLO;EL AGUILA;1;14;1;14;0;56.4;56.4
14211;ASOCIACION DE ACUEDUCTO MANATIAL DE VIDA MARACAIBO;TRUJILLO;1;13;1;13;0;69.96;69.96
25167;ASOCIACION DE USUARIOS DEL ACUEDUCTO Y/O ALCANTARILLADO GUADUALEJO ESP;SAN PEDRO;1;13;1;13;0;56.21;56.21
3406;ASOCIACION DE USUARIOS DEL SISTEMA DE AGUA RURAL COMUNITARIA DE DOPO;YOTOCO;1;13;1;13;0;56.21;56.21
542;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA EL VENADO;SEVILLA;1;13;1;13;0;56.21;56.21
6836;ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO DE LA VEREDA PATIO BONITO;GINEBRA;1;13;1;13;0;74.16;74.16
SIN CODIGO SISA;PROAGUA PUEBLO NUEVO;FLORIDA;1;13;1;13;0;60.41;60.41
2169;ASOCIACION DE USUARIOS DEL SERVICIO COMUNITARIO DE LA MONTAÑUELA - AUSCRAALMA;BOLIVAR;1;12;1;12;1;71.76;71.76
3463;ASOCIACION DE USUARIOS ACUEDUCTO RURAL COMUNITARIO CORREGIMIENTO DE BITACO;EL DOVIO;1;12;1;12;0;56.01;56.01
3577;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO VEREDA LA ESPERANZA AGUAS DEL DANUBIO;EL DOVIO;1;12;1;12;0;56.01;56.01
3683;ASICIACION DE USUARIOS DEL ACUEDUCTO DE LA LIBERTAD CATARINA;EL AGUILA;1;12;1;12;0;56.01;56.01
6890;ASOCIACION DE USUARIOS DEL SISTEMA DE AGUA RURAL COMUNITARIA DE LA VEREDA CORDOBITAS - AGUAS CORDOBITAS;YOTOCO;1;12;1;12;0;56.01;56.01
11681;S.D;BOLIVAR;1;11;1;11;1;57.79;57.79
13988;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO DE CASCARILLO MUNICIPIO DE ROLDANILLO ARCAS;ROLDANILLO;1;11;1;11;0;52.19;52.19
2864;ASOCIACION RURAL ACUEDUCTO VEREDA CENTELLA - PARTE ALTA;DAGUA;1;11;1;11;0;59.99;59.99
302;JUNTA DE ACCIÓN COMUNAL VEREDA EL BRILLANTE;ULLOA;1;11;1;11;0;69.54;69.54
3466;JUNTA ADMINISTRADORA DEL ACUEDUCTO CALLE LARGA;EL DOVIO;1;11;1;11;0;69.54;69.54
7402;ASOCIACION DE USUARIOS DEL SISTEMA DE SUMINISTRO DE AGUA RURAL COMUNITARIA CORREGIMIENTO EL DORADO VEREDA COLORADOS;YOTOCO;1;11;1;11;0;69.54;69.54
8864;ACUEDUCTO ALTO BOLEO;CALIMA;1;11;1;11;1;71.54;71.54
8947;JUNTA ADMINISTRADORA COMUNITARIA ACUEDUCTO MOZAMBIQUE JACA NO. 17;VIJES;1;11;1;11;0;73.74;73.74
9361;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO AGUAS, AGUA Y VIDA YUCATAN Y LIMONES;OBANDO;1;11;1;11;0;55.79;55.79
1275;ASOCIACIÓN COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DE PUENTE TIERRA- ASOCOAPT;VERSALLES;1;10;1;10;0;69.31;69.31
16853;JUNTA DE ACUEDUCTO LA SIRIA;SAN PEDRO;1;10;1;10;0;69.31;69.31
17684;JUNTA ADMINISTRADORA DEL ACUEDUCTO LA MARINA;TRUJILLO;1;10;1;10;0;69.31;69.31
181;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS;RIOFRIO;1;10;1;10;0;55.56;55.56
21651;VERSA;LA CUMBRE;1;10;1;10;0;73.51;73.51
3276;ASOCIACION DE USUARIOS DEL SISTEMA DE AGUA RURAL COMUNITARIA DEL CORREGIMIENTO LAS DELICIAS - ACODELICIAS;YOTOCO;1;10;1;10;0;69.31;69.31
3301;ASOCIACION DE USUARIOS DEL SISTEMA DE SUMINISTRO DE AGUA RURAL COMUNITARIA DEL CORREGIMIENTO SAN SALVADOR Y VEREDA EL SILENCIO;RESTREPO;1;10;1;10;0;55.56;55.56
3502;ASOCIACION DE USUARIOS ACUEDUCTO EL NARANJO;EL AGUILA;1;10;1;10;0;55.56;55.56
3666;FUNDECORAL;LA CUMBRE;1;10;1;10;0;59.76;59.76
500;ASOCIACIÓN ACUAVITAL ESP;YOTOCO;1;10;1;10;0;69.31;69.31
526;ACUEDUCTO RURAL VEREDA GUATEMALA;EL DOVIO;1;10;1;10;0;55.56;55.56
530;ASOCIACIÓN GESTIÓN COMUNITARIA DE AGUA DE LA COMUNIDAD VEREDA LA DIVISA;ANSERMANUEVO;1;10;1;10;0;69.31;69.31
996;JUNTA ADMINISTRADORA ACUEDUCTO CAMELLONES;EL CAIRO;1;10;1;10;0;55.56;55.56
SIN CODIGO SISA;ACUEDUCTO RURAL CAMPO AZUL;CAICEDONIA;1;10;1;10;0;55.56;55.56
SIN CODIGO SISA;SAN ANTONIO;PRADERA;1;10;1;10;0;73.51;73.51
10452;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE CAMPO ALEGRE DE CEYLAN;BUGALAGRANDE;1;9;1;9;0;55.3;55.3
1400;ASOCIACION DE USUARIOS ACUEDUCTO PUERTA DAGUA RIO DAGUA E.S.P EN LIQUIDACION - RIO DAGUA E.S.P;DAGUA;1;9;1;9;0;59.5;59.5
230;ASOCIACION DE USUARIOS ACUEDUCTO COLECTIVO RURAL CHOCHO LA BOHEMIA;TRUJILLO;1;9;1;9;0;69.05;69.05
2608;JUNTA ADMINISTRADORA DEL AGUA VEREDA LA GUERRA;EL AGUILA;1;9;1;9;0;55.3;55.3
2629;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO EL CHUZO SALEM LIMONES MUNICIPIO DE OBANDO;OBANDO;1;9;1;9;0;69.05;69.05
