ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;NIVEL_RIESGO_IRCA;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;ESTUDIANTES_ACTUAL_FINAL;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;MEN_METODO_CRUCE;MEN_SCORE_CRUCE
32;276020000223;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE SIMON BOLIVAR;MEDIO;6;6;0;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
33;476020000249;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE PRINCIPAL;SIN RIESGO;433;433;695;433;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
34;276563000321;PRADERA;I.E. MERCEDES ABREGO SEDE JORGE ELIECER GAITAN;ALTO;10;14;15;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.98
35;276563000291;PRADERA;I.E. MERCEDES ABREGO SEDE ALFONSO LOPEZ PUMAREJO;ALTO;11;11;13;11;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.98
36;276563000151;PRADERA;I.E. MARCO FIDEL SUAREZ SEDE SIMON BOLIVAR;SIN RIESGO;5;7;0;5;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
37;276233001088;DAGUA;I.E. CRISTOBAL COLON SEDE JESUS MARIA MURGUEITIO;SIN RIESGO;13;13;0;13;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
38;276403000235;LA VICTORIA;I.E NUESTRA SEÑORA DE LA PAZ SEDE MIGUEL MARIA DAVILA;MEDIO;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.94
39;276243000772;EL AGUILA;I.E JUSTINIANO ECHAVARRIA SEDE QUENIER GIRALDO;ALTO;6;7;12;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
40;276243000314;EL AGUILA;I.E EL AGUILA SEDE SAN AGUSTIN;ALTO;3;5;7;3;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
41;176736000084;SEVILLA;I.E JORGE ELIECER GAITAN SEDE TOTORO;SIN RIESGO;43;115;38;43;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
