ID_MAESTRO;CODIGO_SISTEMA;MUNICIPIO;AMBITO;TIPO_SISTEMA;ARO;PERSONA_PRESTADORA;LOCALIDADES_ABASTECIDAS;SUSCRIPTORES;POBLACION;TIPO_SISTEMA_TRATAMIENTO;ALGUN_TIPO_TRATAMIENTO;ESTADO_MAESTRO;LATITUD;LONGITUD;VALIDACION_SISTEMA
ACUEDUCTO_0027;102412;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ASOCIACION GESTIÓN COMUNITARIA DE AGUA DE LA COMUNIDAD VEREDA LA DIVISA;LA DIVISA;14.0;56.0;Solo desinfección;0;ACTIVO;4.828097;-76.11026;EXISTENTE
ACUEDUCTO_0029;110255;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ASOCIACION GESTORA COMUNITARIA DEL AGUA DE LA COMUNIDAD RURAL REAL PLACER (ACUAPLACER);REAL PLACER;9.0;36.0;Solo desinfección;0;ACTIVO;4.786725;-76.07942;EXISTENTE
ACUEDUCTO_0030;80702;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ASOCIACION GESTORA COMUNITARIA DEL AGUA DEL CORREGIMIENTO LA CABAÑA;LA CABAÑA.;42.0;168.0;Solo desinfección;0;ACTIVO;4.755024;-76.08022;EXISTENTE
ACUEDUCTO_0031;143327;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;JUNTA ADMINISTRADORA ACUEDUCTO RURAL EL TIGRE( VEREDA BAJO TIGRE);EL TIGRE;37.0;148.0;Ninguno;0;ACTIVO;4.779389;-76.13214;EXISTENTE
ACUEDUCTO_0032;110129;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;JUNTA ADMON ACUEDUCTO EL CASTILLO ALTO Y BAJO;EL CASTILLO;35.0;40.0;Solo desinfección;0;ACTIVO;4.779169;-76.1075;EXISTENTE
ACUEDUCTO_0033;87910;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;JUNTA ADMON ACUEDUCTO EL TIGRE (VEREDA ALTO TIGRE);EL TIGRE;16.0;64.0;Ninguno;0;ACTIVO;4.780883;-76.12842;EXISTENTE
ACUEDUCTO_0034;80699;ANSERMANUEVO;Rural;CENTRO POBLADO;Norte Cartago;JUNTA DE ACCION COMUNAL ACUEDUCTO EL VILLAR;EL VILLAR;168.0;672.0;Solo desinfección;0;ACTIVO;4.819986;-76.09104;EXISTENTE
ACUEDUCTO_0036;86244;ANSERMANUEVO;Urbano;CABECERA MUNICIPAL;Norte Cartago;SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-ANSERMANUEVO;URBANO, ANACARO, GRAMALOTE;3449.0;13796.0;Convencional;1;ACTIVO;4.796672;-75.99252;EXISTENTE
ACUEDUCTO_0038;11932;ARGELIA;Rural;CENTRO POBLADO;Norte Cartago;ADMINISTRACION COOPERATIVA SAN ROQUE- LA SOLEDAD;LA SOLEDAD , LA PAZ, LA PRIMAVERA, TARRITOS, EL RIO;200.0;800.0;Soluciones_Individuales (40_Tarritos);0;ACTIVO;4.684519;-76.12979;EXISTENTE
ACUEDUCTO_0039;91938;ARGELIA;Rural;CENTRO POBLADO;Norte Cartago;ADMINISTRACION COOPERATIVA SAN ROQUE-LAS BRISAS - RAIZAL SISTEMA # 2;LAS BRISAS, EL RAIZAL, LA AURORA, CAJONES, LA PAZ;200.0;800.0;Solo desinfección;0;ACTIVO;4.725194;-76.15353;EXISTENTE
ACUEDUCTO_0040;80692;ARGELIA;Rural;DISPERSA;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTO LA CRISTALINA;LA CRISTALINA;18.0;72.0;Soluciones_Individuales;0;ACTIVO;4.657419;-76.13552;EXISTENTE
ACUEDUCTO_0041;81233;ARGELIA;Rural;DISPERSA;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTO LA PALMA;LA PALMA, LA BELLA, LA TEBAIDA, CALENTADEROS, RECREO, CRUCERO.;92.0;368.0;Solo desinfección;0;ACTIVO;4.707275;-76.13666;EXISTENTE
ACUEDUCTO_0042;81231;ARGELIA;Rural;DISPERSA;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO DE MARACAIBO;MARACAIBO;85.0;340.0;Filtración Compacta+Soluciones_Individuales (46);1;ACTIVO;4.676778;-76.14687;EXISTENTE
ACUEDUCTO_0043;81278;ARGELIA;Rural;DISPERSA;Norte Cartago;JUNTA ADMINISTRADORA DEL ACUEDUCTO BARRIO VILLA NUBIA;BARRIO VILLANUBIA;14.0;56.0;Solo desinfección;0;ACTIVO;4.725106;-76.12234;EXISTENTE
ACUEDUCTO_0044;91935;ARGELIA;Rural;DISPERSA;Norte Cartago;JUNTA ADMINISTRATIVA CALENTADORES;CALENTADORES;19.0;76.0;Soluciones_Individuales;0;ACTIVO;4.100292;-76.06664;EXISTENTE
ACUEDUCTO_0045;86246;ARGELIA;Urbano;CABECERA MUNICIPAL;Norte Cartago;SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-ARGELIA;URBANO, LA ESTRELLA;786.0;3144.0;Convencional;1;ACTIVO;4.729889;-76.11389;EXISTENTE
ACUEDUCTO_0046;62251;BOLIVAR;Rural;DISPERSA;Centro Tuluá;"ACUASALUD ""PUNTA LARGA""";PUNTA LARGA;42.0;168.0;Solo desinfección;0;ACTIVO;4.328061;-76.27541;EXISTENTE
ACUEDUCTO_0047;113719;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ACUEDUCTO CORPOSANISIDRO;SAN ISIDRO;70.0;280.0;Solo desinfección;0;ACTIVO;4.284747;-76.3064;EXISTENTE
ACUEDUCTO_0048;61920;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ACUEDUCTO LA REFORMA VEREDA LA AGUADA;LA AGUADA;170.0;680.0;Filtración Compacta;1;ACTIVO;4.379042;-76.22577;EXISTENTE
ACUEDUCTO_0049;125671;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ACUEDUCTO RURAL CABAÑA ALTA;CABAÑA ALTA;15.0;60.0;Ninguno;0;ACTIVO;4.476075;-76.29456;EXISTENTE
ACUEDUCTO_0050;125674;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ACUEDUCTO RURAL CABAÑA BAJA;CABAÑA BAJA;17.0;68.0;Ninguno;0;ACTIVO;4.180136;-76.15889;EXISTENTE
ACUEDUCTO_0051;126660;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ACUEDUCTO RURAL EL FUSIL;EL FUSIL;12.0;48.0;Ninguno;0;ACTIVO;4.356667;-76.31556;EXISTENTE
ACUEDUCTO_0052;122556;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ACUEDUCTO RURAL EL MATADERO DOS QUEBRADAS;DOS QUEBRADAS;27.0;108.0;Ninguno;0;ACTIVO;4.293503;-76.36311;EXISTENTE
ACUEDUCTO_0053;62095;BOLIVAR;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION DE USUARIO DEL AGUA POTABLE Y ALCANTARILLADO DE RICAURTE;RICAURTE;640.0;2560.0;FIME;1;ACTIVO;4.309453;-76.20946;EXISTENTE
ACUEDUCTO_0054;113587;BOLIVAR;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION DE USUARIOS ACUEDCUTO DE NARANJAL;DE NARANJAL;500.0;2000.0;Solo desinfección;0;ACTIVO;4.356414;-76.35307;EXISTENTE
ACUEDUCTO_0055;64925;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS ACUEDUCTO LA MARIA;LA MARIA;60.0;240.0;Solo desinfección;0;ACTIVO;4.378178;-76.25591;EXISTENTE
ACUEDUCTO_0056;60116;BOLIVAR;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA;LA TULIA;500.0;2000.0;FIME;1;ACTIVO;4.386394;-76.245;EXISTENTE
ACUEDUCTO_0057;103476;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS ACUEDUCTO RURAL EL ORO;EL ORO;30.0;120.0;Ninguno;0;ACTIVO;4.462044;-76.30953;EXISTENTE
ACUEDUCTO_0058;121705;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE BUENOS AIRES;BUENOS AIRES;30.0;120.0;Solo desinfección;0;ACTIVO;4.396928;-76.25172;EXISTENTE
ACUEDUCTO_0059;111988;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1;EL BOSQUE;34.0;136.0;Solo desinfección;0;ACTIVO;4.390028;-76.25185;EXISTENTE
ACUEDUCTO_0060;59619;BOLIVAR;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA;LA HERRADURA;131.0;524.0;Solo desinfección;0;ACTIVO;4.275642;-76.21391;EXISTENTE
