FUENTE_ARCHIVO,ACTIVIDAD,CODIGO_LLAVE,CODIGO_ANTERIOR,CODIGO_SISTEMA_LIMPIO,MUNICIPIO,MUNICIPIO_NORM,LOCALIDADES_ABASTECIDAS,LOCALIDAD_NORM,NOMBRE_SISTEMA,NOMBRE_SISTEMA_NORM,PERSONA_PRESTADORA,ARO,NOMBRE_ARO,ARO_NORM,FUNCIONARIO,FEC_VISITA,FECHA_ACTIVIDAD,FECHA CARGUE,FECHA_CARGUE_DT,ACTA,CONSECUTIVO VISITA,ESTADO,OBSERVACION,Código,Actividad,Actividad_Resumen,PROGRAMADO,FUNCIONARIO_PROGRAMADO,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,COINCIDE_FUNCIONARIO_PROGRAMADO
1.3_VisitasMPR.csv,1.3,2191,,2191,TORO,TORO,VEREDA LA QUIEBRA,VEREDA LA QUIEBRA,ACUEDUCTO RURAL LA QUIEBRA,ACUEDUCTO RURAL LA QUIEBRA,ACUEDUCTO RURAL VEREDA LA QUIEBRA,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,9/04/2026,2026-04-09,2026-04-16,2026-04-16,SHIR09042026,97,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,23445,,23445,EL DOVIO,EL DOVIO,VEREDA DIAMANTE,VEREDA DIAMANTE,VEREDA DIAMANTE ALTO,VEREDA DIAMANTE ALTO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNIDAD DE LA VEREDA DIAMANTE ALTO,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,23/04/2026,2026-04-23,2026-04-29,2026-04-29,AMM23426,125,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,25266,,25266,EL CERRITO,EL CERRITO,,,,,PARCELACIÓN VENECIA ETAPAS 1-2-3 Y 4,3,Aro Sur Cali,ARO SUR CALI,LAURA SOFIA LOPEZ CUNDUMI,19/03/2026,2026-03-19,2026-03-31,2026-03-31,MPRVENE,88,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,25332,,25332,ARGELIA,ARGELIA,,,,,ACUEDUCTO RURAL VEREDA LA MARINA ,1,Aro Norte Cartago,ARO NORTE CARTAGO,EDWARD RAUL JAIMES VERA,6/04/2026,2026-04-06,2026-04-14,2026-04-14,ERJ060426,93,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI,EDWARD RAUL JAIMES VERA,CARTAGO,ARGELIA,ACUEDUCTO RURAL VEREDA LA MARINA,SI
1.3_VisitasMPR.csv,1.3,25437,,25437,EL DOVIO,EL DOVIO,,,,,ACUEDUTO RURAL MONTE AZUL - ACUAZAL ,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,22/04/2026,2026-04-22,2026-04-29,2026-04-29,AMM2426,126,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2564,,2564,ALCALA,ALCALA,LA UNIÓN-EL HIGUERÓN-LA ESTRELLA-EL DINDE,LA UNION-EL HIGUERON-LA ESTRELLA-EL DINDE,SISTEMA # 5,SISTEMA # 5,COOPERATIVA MARAVELEZ ALCALA ESP - SISTEMA # 5,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,8/04/2026,2026-04-08,2026-04-16,2026-04-16,SHIR08042026,96,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2646,,2646,YOTOCO,YOTOCO,PUENTETIERRA,PUENTETIERRA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,2,Aro Centro Tuluà,ARO CENTRO TULUA,VALERIA PATIÑO HERNANDEZ,8/04/2026,2026-04-08,2026-04-22,2026-04-22,VP-08042026,104,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2786,,2786,RIOFRIO,RIOFRIO,LOS ALPES,LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,7/04/2026,2026-04-07,2026-04-29,2026-04-29,DM0407,129,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2786,,2786,RIOFRIO,RIOFRIO,LOS ALPES,LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,7/04/2026,2026-04-07,2026-04-22,2026-04-22,DM-07042026,101,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2873,,2873,LA VICTORIA,LA VICTORIA,CORREGIMIENTOMIRAVALLES,CORREGIMIENTOMIRAVALLES,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL DE MIRAVALLES-ACUAMIR,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL DE MIRAVALLES-ACUAMIR,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL DE MIRAVALLES- ACUAMIR,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,27/04/2026,2026-04-27,2026-05-07,2026-05-07,AMM27042026,131,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,309,,309,ULLOA,ULLOA,BERLIN,BERLIN,SISTEMA # 2 - BERLIN ,SISTEMA # 2 - BERLIN,ADMINISTRACION COOPERATIVA ULLOA E.S.P - SISTEMA #2  BERLIN - MOCTEZUMA ,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,22/04/2026,2026-04-22,2026-04-29,2026-04-29,SHIR22042026,123,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,3171,,3171,ROLDANILLO,ROLDANILLO,VEREDA LA SOLEDAD,VEREDA LA SOLEDAD,ASOCIACION  COMUNITARIA ADMINISTRADORA ACUEDUCTO LA SOLEDAD,ASOCIACION COMUNITARIA ADMINISTRADORA ACUEDUCTO LA SOLEDAD,ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO LA VEREDA LA SOLEDAD,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,17/04/2026,2026-04-17,2026-04-29,2026-04-29,AMM170426,128,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
