CODIGO_SISTEMA,MUNICIPIO,PERSONA_PRESTADORA,SISTEMA_DISTRIBUCION,CLASIFICACION_URBANO_RURAL,ARO,TIPO_SISTEMA,TIPO_DISPOSITIVO_AJUSTADO,LATITUD,LONGITUD,MUESTRAS,ANIOS,IRCA_PROMEDIO,IRCA_MAXIMO,NIVEL_RIESGO,VALIDACION_SISTEMA,PARAMETROS_NO_ACEPTABLES,TOTAL_NO_ACEPTABLES
58631,BOLIVAR,ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE PRIMAVERA,ACUEDUCTO DE PRIMAVERA ACUASALUD,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.353333,-76.2639,23,"2020, 2021, 2022, 2023, 2024, 2025, 2026",6.769565217391304,23.26,MEDIO,EXISTENTE,3,17
111988,BOLIVAR,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO EL BOSQUE NO. 1,ACUEDUCTO EL BOSQUE NO. 1,Rural,Centro Tuluá,DISPERSA,Grifo,4.390028,-76.25185,11,"2020, 2021, 2022, 2023, 2024, 2025",57.49272727272727,92.4,INVIABLE SANITARIAMENTE,EXISTENTE,8,49
126660,BOLIVAR,ACUEDUCTO RURAL EL FUSIL,ACUEDUCTO EL FUSIL,Rural,Centro Tuluá,DISPERSA,Grifo,4.356667,-76.31556,9,"2020, 2021, 2022, 2023, 2024, 2025",76.58666666666666,89.94,INVIABLE SANITARIAMENTE,EXISTENTE,6,44
122556,BOLIVAR,ACUEDUCTO RURAL EL MATADERO DOS QUEBRADAS,ACUEDUCTO EL MATADERO DOS QUEBRADAS,Rural,Centro Tuluá,DISPERSA,Grifo,4.293503,-76.36311,5,"2020, 2021, 2022, 2023",75.268,87.6,INVIABLE SANITARIAMENTE,EXISTENTE,5,26
103476,BOLIVAR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA EL ORO MUNICIPIO DE BOLIVAR VALLE DEL CAUCA,ACUEDUCTO EL ORO,Rural,Centro Tuluá,DISPERSA,Grifo,4.462044,-76.30953,4,"2020, 2021, 2022, 2023",81.865,89.6,INVIABLE SANITARIAMENTE,EXISTENTE,6,27
59619,BOLIVAR,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO DEL CORREGIMIENTO DE LA HERRADURA ASUAHER MUNICIPIO DE BOLIVAR VALLE DEL CAUCA,ACUEDUCTO LA HERRADURA,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.275642,-76.21391,21,"2020, 2021, 2022, 2023, 2024, 2025, 2026",22.098095238095237,100.0,INVIABLE SANITARIAMENTE,EXISTENTE,9,49
64925,BOLIVAR,ASOCIACION DE USUARIOS ACUEDUCTO LA MARIA DEL CORREGIMIENTO LA TULIA DEL MUNICIPIO DE BOLIVAR - VALLE DEL CAUCA,ACUEDUCTO LA MARÍA,Rural,Centro Tuluá,DISPERSA,Grifo,4.378178,-76.25591,15,"2020, 2021, 2022, 2023, 2024, 2025",61.10733333333334,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,6,67
103477,BOLIVAR,ASOCIACION DE SUSCRIPTORES DEL SERVICIO DE ACUEDUCTO RURAL COMUNITARIO MANANTIALES DE BETANIA,ACUEDUCTO MANANTIALES DE BETANIA,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.439953,-76.30947,4,"2020, 2021, 2022, 2023",60.0275,87.86,INVIABLE SANITARIAMENTE,EXISTENTE,6,18
123647,BOLIVAR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL CAMPESINO VEREDA MORAVITO,ACUEDUCTO MORAVITO,Rural,Centro Tuluá,DISPERSA,Grifo,4.279269,-76.38605,5,"2020, 2021, 2022, 2023",75.13199999999999,85.27,INVIABLE SANITARIAMENTE,EXISTENTE,5,23
113587,BOLIVAR,ASOCIACION DE USUARIOS ACUEDUCTO NARANJAL,ACUEDUCTO NARANJAL,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.356414,-76.35307,20,"2020, 2021, 2022, 2023, 2024, 2025",23.913,89.05,INVIABLE SANITARIAMENTE,EXISTENTE,5,42
