codigo_dane_fuente,municipio,aro_uesvalle,sector,necesidad,equipos_elementos,costo_estimado,estado_informacion,fila_fuente,columnas_fuente
76111,Guadalajara de Buga,ARO Centro - Tuluá,Salud,EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,,,REPORTADO,12,Y
76111,Guadalajara de Buga,ARO Centro - Tuluá,Edificaciones públicas,"Ubciaciones con afectaciónes:
1) BATALLÓN PALACÉ (3 POSTES DE ENERGÍA 
AGRIETADOS, RANCHO DE TROPA, CASINO)

3) CÁMARA DE COMERCIO
4)REGISTRADURÍA 
5)PROCURADURÍA

6) GALERÍA CENTRAL (MURAL, PARED COLAPSADA 
CALLE 7A, MURO, REPORTAR A CELSIA

7) PATIO ALTO (FISURA, SIN FALLA ESTRUCTURAL)

8) ESTACIÓN BOMBEROS (TORRE SIRENA)

9) CÁRCEL PATIO 1 ADULTOS MAYORES, PATIO 5 Y 6 
PAREDES QUE COLINDAN CON EL PARQUEADERO 
ENSEGUIDA DE LA CÁRCEL. GARITA 2, 
ALOJAMIENTOS PERSONAL DE GUARDIA, 
EDIFICACIÓN PARTE ADMINISTRATIVA

10) UNIVALLE (DOS DAÑOS EN CUBIERTAS, MUROS, 
ESCALERAS)


11) PARQUE BOLÍVAR (AFECTACIÓN EN BARANDA)",Materiales de construccion,,REPORTADO,12,BR-BS-BT
76113,Bugalagrande,ARO Centro - Tuluá,Salud,No tuvo afectación estructural o agrietamientos,,,REPORTADO,13,Y
76113,Bugalagrande,ARO Centro - Tuluá,Vivienda,Sin información,,,SIN INFORMACIÓN / EN VERIFICACIÓN,13,AG
76113,Bugalagrande,ARO Centro - Tuluá,Edificaciones públicas,"La alcaldia quedó fuera de servicio por múltiples daños en su estructura.

Cuerpo de Bomberos tiene daños en su estructura, pero sigue operando",,,REPORTADO,13,BR-BS-BT
76113,Bugalagrande,ARO Centro - Tuluá,Telecomunicaciones,Sin Información,Sin Información,,SIN INFORMACIÓN / EN VERIFICACIÓN,13,DR-DS-DT
76113,Bugalagrande,ARO Centro - Tuluá,Prioridad general,Carpas y alimentos para los albergues temporales,,,REPORTADO,13,JR
76113,Bugalagrande,ARO Centro - Tuluá,CRUE,"EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR, Bugalagrande en operando en normalidad 6 camas disponibles y sala de parto en operación. Atentos!",,,REPORTADO,13,JS
76122,Caicedonia,ARO Centro - Tuluá,Salud,"Grietas en consulta externa (Afectacion del 10%)
EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",,,REPORTADO,14,Y
76122,Caicedonia,ARO Centro - Tuluá,Vivienda,"Reparación y/o reconstrucción de viviendas afectadas, incluyendo intervención de estructuras, cubiertas y mampostería, con el fin de garantizar condiciones adecuadas de seguridad y habitabilidad para las familias afectadas.",,,REPORTADO,14,AG
76122,Caicedonia,ARO Centro - Tuluá,Edificaciones públicas,"Intervención directa en elementos de mampostería y estructuras, así como la reconstrucción de cubiertas de las viviendas afectadas, previa evaluación y análisis técnico realizado por profesionales especializados en ingeniería.","Tejas
Cuartones 
Cemento 
Ladrillo
Guadua 
Plástico 
Víveres
Brazadas",,REPORTADO,14,BR-BS-BT
76122,Caicedonia,ARO Centro - Tuluá,Telecomunicaciones,"Restablecimiento y rehabilitación de los servicios de telecomunicaciones y telefonía móvil, mediante la recuperación de la infraestructura y redes afectadas, con el fin de garantizar la comunicación de la población y de los organismos de atención y respuesta a la emergencia.

Claro - Averiado
Movistar y Tigo - Uso Restringido",,,REPORTADO,14,DR-DS-DT
76122,Caicedonia,ARO Centro - Tuluá,Servicios públicos,Restablecer de manera prioritaria la energía eléctrica para abastecer en el municipio.,,,REPORTADO,14,HM-HN-HO
76122,Caicedonia,ARO Centro - Tuluá,"Industria, comercio y turismo",Reestablecer el servicio de energía eléctrica para reactivar el comercio en el municipio,,,REPORTADO,14,JO-JP-JQ
