id,codigo,municipio,aro,longitud,latitud,tmax_daily_mean_c,tmax_abs_c
ELNINO_0129,3294,CALIMA,Centro Tuluá,-76.45056,3.964167,22.03,23.79
ELNINO_0130,934,CALIMA,Centro Tuluá,-76.43931,3.976028,22.03,23.79
ELNINO_0132,8864,CALIMA,Centro Tuluá,-76.47723,3.967236,22.03,23.79
ELNINO_0134,9076,CALIMA,Centro Tuluá,-76.47314,3.968806,22.03,23.79
ELNINO_0135,154,CALIMA,Centro Tuluá,-76.48957,3.922036,21.66,23.26
ELNINO_0136,4065,CALIMA,Centro Tuluá,-76.43917,3.996111,22.03,23.79
ELNINO_0137,3260,CALIMA,Centro Tuluá,-76.45389,3.905844,23.15,25.08
ELNINO_0139,12882,CALIMA,Centro Tuluá,-76.43202,3.985008,22.03,23.79
ELNINO_0301,940,CALIMA,Centro Tuluá,-76.42306,4.027528,22.03,23.79
ELNINO_0142,5647,CALIMA,Centro Tuluá,-76.46809,3.91225,23.15,25.08
ELNINO_0143,185,CALIMA,Centro Tuluá,-76.49569,3.930083,21.66,23.26
ELNINO_0144,5791,CALIMA,Centro Tuluá,-76.47836,3.874806,23.93,26.08
ELNINO_0091,4067,CALIMA,Centro Tuluá,-76.43919,3.987939,22.03,23.79
ELNINO_0146,3402,CALIMA,Centro Tuluá,-76.48788,3.947589,21.66,23.26
ELNINO_0147,156,CALIMA,Centro Tuluá,-76.46585,3.931958,23.15,25.08
ELNINO_0148,188,CALIMA,Centro Tuluá,-76.47713,3.941667,23.15,25.08
ELNINO_0149,186,CALIMA,Centro Tuluá,-76.47713,3.941667,23.15,25.08
ELNINO_0150,3931,CALIMA,Centro Tuluá,-76.48801,3.869847,23.19,25.07
ELNINO_0151,342,DAGUA,Sur Cali,-76.71281,3.661464,24.4,26.14
ELNINO_0152,343,DAGUA,Sur Cali,-76.71489,3.668789,24.4,26.14
ELNINO_0153,2850,DAGUA,Sur Cali,-76.65117,3.48925,22.82,24.87
ELNINO_0154,19177,DAGUA,Sur Cali,-76.76,3.783056,24.84,26.41
ELNINO_0155,12974,DAGUA,Sur Cali,-76.60917,3.577222,25.15,27.46
ELNINO_0156,3425,DAGUA,Sur Cali,-76.66928,3.559194,24.02,25.94
ELNINO_0157,1399,DAGUA,Sur Cali,-76.62087,3.809947,23.22,24.92
ELNINO_0158,3956,DAGUA,Sur Cali,-76.69569,3.533694,22.82,24.87
ELNINO_0168,1403,DAGUA,Sur Cali,-76.67936,3.740389,24.12,25.65
ELNINO_0160,346,DAGUA,Sur Cali,-76.72069,3.630694,24.02,25.94
ELNINO_0161,2832,DAGUA,Sur Cali,-76.62981,3.522972,24.57,27.03
ELNINO_0162,2897,DAGUA,Sur Cali,-76.62249,3.560442,25.15,27.46
ELNINO_0163,3415,DAGUA,Sur Cali,-76.63778,3.561944,25.15,27.46
ELNINO_0164,3423,DAGUA,Sur Cali,-76.61333,3.537778,24.57,27.03
ELNINO_0165,2853,DAGUA,Sur Cali,-76.71414,3.569969,24.02,25.94
ELNINO_0166,12978,DAGUA,Sur Cali,-76.717,3.564031,24.02,25.94
ELNINO_0580,4055,DAGUA,Sur Cali,-76.67957,3.658167,24.4,26.14
ELNINO_0466,4054,DAGUA,Sur Cali,-76.67748,3.655803,24.4,26.14
ELNINO_0169,2899,DAGUA,Sur Cali,-76.62861,3.577822,25.15,27.46
ELNINO_0287,4057,DAGUA,Sur Cali,-76.66592,3.761389,24.12,25.65
ELNINO_0171,3416,DAGUA,Sur Cali,-76.64361,3.553611,24.57,27.03
ELNINO_0172,1400,DAGUA,Sur Cali,-76.67075,3.719861,24.12,25.65
ELNINO_0173,3417,DAGUA,Sur Cali,-76.63028,3.549167,24.57,27.03
ELNINO_0174,2849,DAGUA,Sur Cali,-76.648,3.507444,22.82,24.87
ELNINO_0175,2867,DAGUA,Sur Cali,-76.63022,3.603417,25.15,27.46
ELNINO_0176,2871,DAGUA,Sur Cali,-76.66364,3.628233,24.02,25.94
ELNINO_0177,2870,DAGUA,Sur Cali,-76.66347,3.628472,24.02,25.94
ELNINO_0178,14560,DAGUA,Sur Cali,-76.62811,3.582111,25.15,27.46
ELNINO_0179,6897,DAGUA,Sur Cali,-76.64667,3.534653,22.82,24.87
ELNINO_0180,2865,DAGUA,Sur Cali,-76.64569,3.617889,24.02,25.94
