ARO,Anio,Tipo_servicio_codigo,Tipo_servicio_nombre,Codigo,Fecha_envio,Fecha_recepcion,Hora_recepcion,Fecha_resultados,Tipo,Entidad_que_remite,Muestras_recibidas,Muestras_rechazadas,Estado,Pagina_manual,Fila_archivo,Muestras_recibidas_num,Muestras_rechazadas_num,Clave_ARO_Codigo,Es_codigo_valido,Fecha_envio_dt,Fecha_recepcion_dt,Fecha_resultados_dt,Es_duplicado_por_codigo
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5509-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,386,3,0,Cartago|20251125-5509-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251124-5419-VIG,24/11/2025,24/11/2025,3:50 PM,06/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,387,3,0,Cartago|20251124-5419-VIG,True,2025-11-24,2025-11-24,2025-12-06,False
Cartago,2025,VDM,VIGILANCIA DE MAPAS,20251124-5423-VDM,24/11/2025,24/11/2025,3:50 PM,31/12/2025,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,4.0,388,4,0,Cartago|20251124-5423-VDM,True,2025-11-24,2025-11-24,2025-12-31,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251124-5415-VIG,24/11/2025,24/11/2025,3:50 PM,06/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,389,3,0,Cartago|20251124-5415-VIG,True,2025-11-24,2025-11-24,2025-12-06,False
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260505-8112-VIG,05/05/2026,05/05/2026,2:40 PM,18/05/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,nan,39,4,0,Cartago|20260505-8112-VIG,True,2026-05-05,2026-05-05,2026-05-18,False
Cartago,2025,VDM,VIGILANCIA DE MAPAS,20251124-5418-VDM,24/11/2025,24/11/2025,3:50 PM,31/12/2025,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,4.0,390,4,0,Cartago|20251124-5418-VDM,True,2025-11-24,2025-11-24,2025-12-31,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251124-5416-VIG,24/11/2025,24/11/2025,3:50 PM,06/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,391,3,0,Cartago|20251124-5416-VIG,True,2025-11-24,2025-11-24,2025-12-06,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251124-5414-VIG,24/11/2025,24/11/2025,3:50 PM,06/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,392,3,0,Cartago|20251124-5414-VIG,True,2025-11-24,2025-11-24,2025-12-06,False
Cartago,2025,VDM,VIGILANCIA DE MAPAS,20251124-5453-VDM,24/11/2025,24/11/2025,3:50 PM,06/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,393,3,0,Cartago|20251124-5453-VDM,True,2025-11-24,2025-11-24,2025-12-06,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5384-VIG,20/11/2025,20/11/2025,2:50 PM,02/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,394,3,0,Cartago|20251120-5384-VIG,True,2025-11-20,2025-11-20,2025-12-02,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5387-VIG,20/11/2025,20/11/2025,2:50 PM,02/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,395,3,0,Cartago|20251120-5387-VIG,True,2025-11-20,2025-11-20,2025-12-02,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5362-VIG,20/11/2025,20/11/2025,2:50 PM,01/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,396,3,0,Cartago|20251120-5362-VIG,True,2025-11-20,2025-11-20,2025-12-01,False
