aro,fecha,nombre,municipio,ubicacion,direccion,acta,nivel_fuente,danos,suspension,riesgo_colapso,riesgo_cerramiento,senalizacion,vias_seguras,grietas,bovedas_bloques,bovedas_abiertas,exposicion_restos,mov_suelo,fugas,agua,residuos_dispersion,residuos_gestion,salud_publica,restriccion,observaciones,fuente_principal,tipo_fuente,flag_exposicion_restos,flag_bovedas_abiertas,flag_riesgo_colapso,flag_restriccion,flag_salud_publica,prioridad_sanitaria,completitud_pct,n_fotos
ARO Sur - Cali,2026-08-20,CEMENTERIO JUNTA ACCION COMUNAL CORREGIMIENTO EL CARMEN,Dagua,CORREGIMIENTO EL CARMEN,CORREGIMIENTO EL CARMEN,02731,Sin afectación,SI (YA FUERON REPARADOS),SI,,NO,NO,SI,NO,NO,NO,NO,N,NO,SI,NO,SI,NO,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,91,0
ARO Centro - Tuluá,2026-08-14,Cementerio Local de Caicedonia,Caicedonia,Barrio LLeras,Barrio LLeras,5856.0,Leve,si,no,pared interior de osarios,no,no menciona,si,si,si,no,no,no,no,si,no,si,"si, exposición de restos en algunos osarios que sufrieron daños","si, zona de osarios con restos expuestos","Se verificó condiciones higiénico Sanitarias y  locativas evidenciando lo sguiente:
Daño estructural en pared posterior y tejas.
Algunas grietas ne paredes y techos.
Se cayó una pared con osarios los cuales quedaron expuestos por restos, el arreglo se realizará el 17 de agosto.
Suministro de agua normal",CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,No,No,Sí,Sí,Alta,100,0
ARO Centro - Tuluá,2026-08-14,Cementerio Central Santa Ana,Bolívar,,Cra 2 Salida Ricaute,4961.0,Leve,"si, en la capilla",si,"si, en la capilla",si,,,,,,,,,,,,,,"Se presentó exposición de  2 bóvedas y 31 osarios, sin embargo, en el momento de la visita, se había realizado los arreglos respectivos",CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,No,No,Media,18,0
ARO Centro - Tuluá,2026-08-14,Cementerio Jardín de la Vida,Calima,San Jorge,Calle 11 Salida PTAR,4963.0,Leve,"si, afectación en techo de la capilla (desprendimiento de material y tejas caídas y daño en la estructura de la antígua entrada, ambas inhabilitadas)",no,"si, en la capilla",no,si,,,no,"si, 2 lápidas de sepulturas agrietadas de forma superficial",no,no,no,si,no,si,"Las afectaciones fueron la capilla y en la estructura de la antígua entrada, por lo que se encuentran señalizadas e inhabilitadas",,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,Sí,Sí,No,No,Alta,82,4
ARO Centro - Tuluá,2026-08-13,Cementerio Católico Municipal,Zarzal,San Rafael,Cra 5 No. 5-00,5855.0,Leve,"si, en la entrada al establecimiento y pared que colinda con el batallón. Grieta en la parte lateral","si, el ingreso es restringido, solo para sepulturas y exhumaciones","si, en la entrada al establecimiento y la pared colindante con el batallón",no,no menciona,si,"si, la pared colindante con el batallón, grieta en pared lateral  e ingreso","si, un bloque de osarios","si, lápidas deterioradas sin exposición ósea",no,no,no,si,no,si,no,,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,Sí,Sí,No,No,Alta,91,2
ARO Centro - Tuluá,2026-08-14,Cementerio Católico San Luis Gonzaga,Sevilla,Vía tres esquinas,Cra 52 No. 61-183,5681.0,Grave,"Se observa en la parte frontal del cementerio, muros caídos que afectan bóvedas, lindero con parqueadero donde caen los restos de las bóvedas, parte trasera y parte sur también con caída de muros. Afectación de 35 bóvedas",no menciona,"si, bóvedas y muros",si,no menciona,no menciona,"Si, se observa en la parte frontal del cementerio, muros caídos que afectan bóvedas, lindero con parqueadero donde caen los restos de las bóvedas, parte trasera y parte sur también con caída de muros. Afectación de 35 bóvedas","Si se observa en la parte frontal del cementerio, muros caídos que afectan bóvedas, lindero con parqueadero donde caen los restos de las bóvedas, parte trasera y parte sur también con caída de muros. Afectación de 35 bóvedas",si,si,no,no menciona,no menciona,no menciona,no menciona,"si, hay exposición de restos de las bóvedas",,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,Sí,Sí,No,Sí,Crítica,91,0
ARO Centro - Tuluá,2026-08-18,Cementerio Parroquia Inmaculada Concepción,Yotoco,Barrio Centenario,Cra 7 No. 3-03,JLY 1052026,Grave,"Se evidencia muro en área de capilla con riesgo de desprendimiento, cerramiento agrietado, área delimitada con cinta amarilla pero no está delimitada el área de capilla, ingreso de público restringido pero el servicio de inhumación se sigue prestando, vías internas con ingreso seguro, hay muros y pisos agrietados, solo agrietamientos parciales en el área de bóvedas","no, se sigue realizando inhumación, sin presencia de público","si, Se evidencia muro en área de capilla con riesgo de desprendimiento, cerramiento agrietado","Si, se encuentra agrietado","si, parcialmente en la zona exterior, pero no se ha delimitado la capilla",si,no hay hundimientos pero si hay colapso en el área de la capilla,hay grietas parciales en el área de bóvedas,no,no,no,no,si,no,si,"no, las grietas y el área de la capilla son las afectadas","si, el área de la capilla",,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,Sí,No,Alta,100,8
ARO Centro - Tuluá,2026-08-18,Cementerio Civil Yotoco,Yotoco,,,,Sin afectación,"No se presentaron personas lesionadas, los servicios de inhumación fueron suspendidos desde la pandemia, , no se evidencian estructuras con riesgo de desprendimiento, no requiere señalización, las vías internas son en tierra y no presentan novedades,  no hay daños estructurales en muros  ni cubiertas, no hay área de bóvedas, no hay exposición de ataúdes ni restos humanos, no hay suministro de agua potable, el piso es en tierra y tiene maleza , el aseo es mensual e inadecuado,","no, se encuentra suspendido desde el covid",no,no,no,las vías internas son en tierra pero no se evidencian afectaciones,no,no,no,no,no,no,no hay suministro,no,no,no,no,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Media,100,3
ARO Centro - Tuluá,2026-08-13,Cementerio Santa María Magdalena,Riofrío,Barrio Las Delicias,Cra 10 No. 9-28,1443.0,Leve,si,no,no,"no, solo algunas grietas",no,si,grietas en el cerramiento perimetral y en parte del área de exhumación,no hay bóvedas en el cementerio,no,no,no,no,"si, es de pozo profundo",no,si,no,no,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Media,100,0
ARO Centro - Tuluá,2026-08-14,Cementerio La Santísima Trinidad/San Miguel,Riofrío,Fenicia,Vía Vereda San Pablo,1444.0,Sin afectación,no,no,no,no,no,si,no,no,"solo hay una lápida de bóveda desprendida pero al parecer es por el desgaste, como consecuencia del sismo",no,no,no,No tiene suministro de agua,no,no se evidencia área para el almacenamiento de los residuos,no,no,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Media,100,0
ARO Norte - Cartago,2026-08-13,Cementerio San José,Obando,,Km 5 vía la victoria-obando,4011.0,Leve,"si, estructurales en el techo de la capilla",no,"si, en el techo de la capilla",no,"no, se recomendó señalizar de forma preventiva",si,no,no,no,no menciona,no,no,no menciona,no,no menciona,no,"si, el área de la capilla",,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,Sí,No,Alta,100,2
ARO Norte - Cartago,2026-08-15,Cementerio Municipal Católico de Versalles,Versalles,El Oasis,Barrio El Oasis,7166.0,Moderada,"si, estructura de los osarios, grietas, colapso parcial de la parte inferior de uno de los bloques, desprendimiento de tapas y elementos estructurales en otros sectores dejando restos expuestos",si,"si, en la parte inferior de  unos de los bloque",no,"no, se recomendó restringir el acceso a las áreas comprometidas",no menciona,"si, en la parte inferior del muro de bóvedas",si,si,si,no,no,si,no,si,"si, hay exposición de  restos humanos","si, el área de osarios",,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,Sí,Sí,Sí,Sí,Alta,100,7
ARO Norte - Cartago,2026-08-14,Cementerio San José de Ulloa,Ulloa,El progreso No. 1,Barrio El progreso No. 1,7160.0,Moderada,"Se generaron grietas en bóvedas, caída de tapas con lápidas, musoleo con deterioro debido a que una de las paredes presenta grietas. Se evidencia apertura de tapas de las bóvedas que permiten ver el cofre pero no los restos, las columnas se encuentran fisuradas y con peso de la parte superior pueden colapsar.",si,"si, las columnas se encuentran en riesgo de colapso",no menciona,si,no menciona,"Se generaron grietas en bóvedas, caída de tapas con lápidas, musoleo con deterioro debido a que una de las paredes presenta grietas. Se evidencia apertura de tapas de las bóvedas que permiten ver el cofre pero no los restos, las columnas se encuentran fisuradas y con peso de la parte superior pueden colapsar.",si,si,"si, de ataudes",si,no,no menciona,no,no menciona,"Sí, se generaron grietas en bóvedas, caída de tapas con lápidas, musoleo con deterioro debido a que una de las paredes presenta grietas. Se evidencia apertura de tapas de las bóvedas que permiten ver el cofre pero no los restos, las columnas se encuentran fisuradas y con peso de la parte superior pueden colapsar.","si, el área de bóvedas",,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,Sí,Sí,Sí,Sí,Alta,100,0
ARO Norte - Cartago,2026-08-13,Cementerio Católico San José,La Victoria,Centro,Barrio Centro,7159.0,Moderada,"si, desprendimiento de algunas tejas de la cubierta sobre las bóvedas y presencia de fisuras visibles en área de capilla",no,"si, desprendimiento de algunas tejas de la cubierta sobre las bóvedas y presencia de fisuras visibles en área de capilla",no menciona,no,si,"si, en tejas de la cubierta en las bóvedas y fisuras en muros de la capilla","si, en las bóvedas y capilla",no,no,no,no,si,no,si,"si, desprendimiento de algunas tejas de la cubierta sobre las bóvedas y presencia de fisuras visibles en área de capilla","si, parea de bóvedas y capilla",,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,Sí,Sí,Alta,100,0
ARO Norte - Cartago,2026-08-13,Cementerio Católico Casa de Paz,El Dovio,El Carmen,Calle 11 No. 9-14,7156.0,Leve,Se presentaron grietas estructurales en bóvedas y perdida parcial de sus cubiertas.,no,"si, pérdida parcial de cubierta en las bóvedas",no menciona,"no, se recomendó señalizar de forma preventiva",si,"si, en cubiertas de bóvedas","si, existen grietas en bóvedas",no,no,no,no,si,no,si,"si, se presentaron grietas estructurales en bóvedas y perdida parcial de sus cubiertas.",restringir el área de bóvedas afectadas,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,Sí,Sí,Alta,100,0
ARO Norte - Cartago,2026-08-13,Cementerio Católico Las Palmas,Roldanillo,,Calle 9 No. 2 N -45,7158.0,Grave,"Se evidencian bóvedas y osarios abiertos con exposición de restos humanos, situación que requiere atención inmediata desde el punto de vista sanitario. Se observa perdida del cerramiento perimetral del cementerio, colapso de parte de su estructura. Se constató que no restingieron la entrada, permitieron el ingreso de personas pese a las condiciones encontradas.",no,"Si, bóvedas, osarios y muro perimetral",si,si,"no, no se restringió el acceso al público generando un riesgo a la comunidad","si, muros en bóvedas y osarios , así como el cerco perimetral",si,si,si,no,no,si,no,no menciona,"si, las bóvedas y osarios, presentan restos humanos expuestos","si, debe restringirse el ingreso al cementerio",,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,Sí,Sí,Sí,Sí,Alta,100,0
ARO Norte - Cartago,2026-08-14,Cementerio Católico San Miguel Arcángel,Alcalá,Salida Alcalá-Cartago,Km 1 Alcalá-Cartago,7164.0,Crítica,"Se observan bóvedas y osarios deteriorados, cubiertas afectadas y lápidas fracturadas, acumulación de escombros en diferentes áreas del cementerio, evidenciandose presencia de restos óseos entre ellos y dentro de bolsas, las cuales son recolectadas por el sepulturero sin identificar a quien corresponden.",si,"Se observan bóvedas y osarios deteriorados, cubiertas afectadas y lápidas fracturadas, acumulación de escombros en diferentes áreas del cementerio",no menciona,no menciona,"no, se encuentra cerrado al público",se evidencias grietas en bóvedas y osarios,si,si,si,no,no menciona,si,no,si,"Si, se observan bóvedas y osarios deteriorados, cubiertas afectadas y lápidas fracturadas, acumulación de escombros en diferentes áreas del cementerio, evidenciandose presencia de restos óseos entre ellos y dentro de bolsas, las cuales son recolectadas por el sepulturero sin identificar a quien corresponden.","Sí, área de bóvedas y osarios",,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,Sí,No,Sí,Sí,Crítica,100,0
ARO Norte - Cartago,2026-08-13,Cementerio Católico de Cajamarca,Roldanillo,Corregimiento Cajamarca,Corregimiento Cajamarca,7157.0,Leve,"si, capilla con desprendimiento de tejas de la cubierta",no menciona,"Si, la cubierta de la capilla",no menciona,no menciona,no menciona,"si, en cubierta de la capilla",no,no,no,no,no,si,no,no menciona,"Si, la capilla tuvo desprendimiento de tejas en la cubierta","Si, el área de la capilla",,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,Sí,Sí,Alta,100,0
ARO Norte - Cartago,2026-08-13,Cementerio Central Diocesano de Ansermanuevo,Ansermanuevo,Barrio Nuevo Horizonte,Cra 3  1A,7177.0,Leve,Daño estructural al ingreso al cementerio así como en parte del muro perimetral,no,no,"Si, sufrió colapso a la entrada de aproximadamente 4 a 5 metros",si,si,"se observa inclinación del muro de tumbas, ubicado en la parte derecha del cementerio",no,no,no,no,no,si,no,si,no,no,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,No,No,Media,100,4
ARO Norte - Cartago,2026-08-14,Cementerio Nuestra Señora del Carmen,Toro,Barrio Centro,Cra 4 Calles 15 y 16,3930.0,Leve,"Paredes de cerramiento caídas y grietas en fachada, no hay personas lesionadas",no,"si, el cerramiento perimetral",si,si,si,"si, el muro de algunos osarios",no,no,no,no,no,si,no,si,no,Restringir el paso por el anden del lado sur del cementerio por la carrera 4,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,Sí,No,Media,100,3
ARO Norte - Cartago,2026-08-18,Cementerio Local El Águila,El Águila,Barrio El Dumbar,Sector El Dumbar salida Villanueva,1230.0,Sin afectación,no,no,no,no,no,si,no,no,no,no,no,no,si,no,si,no,no,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,100,3
ARO Norte - Cartago,Sin dato,Cementerio Público Municipal San Miguel Arcángel,La Unión,Área urbana,Sin dato,Sin dato,No consignado,"Sí. Daños en puerta de ingreso, columnas, capilla, torre de osarios y muro posterior.",No; operación limitada a sepultura y exhumaciones.,Sí. Muros con riesgo de colapso y desmoronamiento.,Sí. Fisura profunda en muro con bóvedas adaptadas.,Registro inconsistente: el formato marca NO y observa delimitación operativa de zonas de peligro.,No. Pasillos internos con escombros.,Sí. Grietas/fisuras en torres de osarios y muros.,Sí. Grietas en torres de osarios antiguos.,Sí. Tapas/lápidas desprendidas y osarios/bóvedas expuestos.,Sí. Se observaron restos óseos y pequeños ataúdes; restos en bolsas plásticas negras.,Hundimientos asociados a excavaciones ya realizadas.,No.,No funciona normalmente; restricción/intermitencia.,Sí. Escombros internos/externos.,Recolección de residuos peligrosos realizada en días previos.,"Sí. Desmoronamiento, exposición de restos óseos en bolsas y aumento de humedad/polvo/tierra.",Se requiere control de zonas de peligro y restricción operacional.,Fuente directa de carpeta municipal y registro de preguntas del cementerio. No consigna nivel de afectación en escala.,PREGUNTAS CEMENTERIO PUBLICO MUNICIPAL DE LA AUNION VALLE (SAN MIGUEL ARCANGEL).pdf,Carpeta municipal / lista de chequeo,Sí,Sí,Sí,No,Sí,Crítica,100,6
ARO Centro - Tuluá,2026-08-21,Cementerio Parroquia Nuestra Señora del Carmen,Restrepo,Puerto Tejada 2,Vía salida a vereda Buenvivir,JC-R115-26,Moderada,Sí. Muro de fachada con riesgo de desprendimiento/colapso.,No; inhumación y exhumación activas.,Sí. Muro de fachada del cerramiento.,Sí. Fachada forma parte del cerramiento.,Sí. Área delimitada con cinta amarilla.,Sí.,Sí. Grietas en muros y algunas bóvedas/cubiertas.,Algunas bóvedas agrietadas.,Bóvedas abiertas por estar desocupadas; no se evidencian bóvedas en uso con tapas/lápidas desprendidas.,No.,No.,No.,Suministro en condiciones normales.,No.,Recolección y disposición adecuada.,No se evidencia condición inmediata; requiere restringir tránsito junto al muro.,Sí. Restringir tránsito por el área inmediata al muro de fachada.,Acta directa de carpeta municipal.,Whatsapp Scan 21 de agosto de 2026 at 18.56.42.pdf,Carpeta municipal / acta,No,Sí,Sí,Sí,No,Alta,100,4
ARO Centro - Tuluá,2026-08-25,Fundación Cementerio Remanso de Bella Vista,Yotoco,Corregimiento Las Delicias,Corregimiento Las Delicias,JC-Y118-26,Leve,"Sí. Colapso de muros en capilla, parte de techo en zona de sepulturas y grietas en terreno.",No.,Sí. Capilla y techo en zona de sepultura.,No hay cerramiento perimetral.,No.,No hay vías internas.,Sí. Grietas en terreno y colapso de capilla/techo.,No hay bóvedas.,No aplica.,No.,No.,No.,Suministro por grifo.,No por el sismo.,"Manejo inadecuado: escombros, zona verde enmontada.",Sí. Manejo de residuos y vegetación puede favorecer vectores.,Se requiere restringir tránsito por capilla y zona con afectación.,Acta directa; el informe fotográfico también registra el sitio.,Whatsapp Scan 25 de agosto de 2026 at 12.50.32.pdf,Carpeta municipal / acta,No,No,Sí,Sí,Sí,Alta,100,3
